Pathway	Mark	Adult_Peaks	Neonate_Peaks	Total_Adult_Peaks	Total_Neonate_Peaks	Prop_Adult	Prop_Neonate	Log2_FC	Odds_Ratio	P_Value	Direction	FDR
HALLMARK_PANCREAS_BETA_CELLS	H3K27	20	32	2370	12887	0.008438818565400843	0.0024831225265771707	1.7648855845092513	3.418882978723404	5.050055621719357e-05	Adult > Neonate	0.005050055621719357
HALLMARK_MYOGENESIS	H3K27	11	147	2370	12887	0.004641350210970464	0.011406844106463879	-1.297283236577178	0.40412604210823794	0.0018157863026409533	Neonate > Adult	0.09078931513204766
HALLMARK_UV_RESPONSE_UP	H3K27	24	73	2370	12887	0.010126582278481013	0.005664623263754171	0.838095431463028	1.795746768034194	0.016360596945933885	Adult > Neonate	0.5453532315311295
HALLMARK_ANGIOGENESIS	H3K27	12	31	2370	12887	0.005063291139240506	0.0024055249476216344	1.07372367995617	2.1104818189280143	0.033504321416417245	Adult > Neonate	0.6700864283283449
HALLMARK_UV_RESPONSE_DN	H3K27	12	122	2370	12887	0.005063291139240506	0.009466904632575464	-0.902817347219841	0.5324740332874484	0.031236434748556332	Neonate > Adult	0.6700864283283449
HALLMARK_BILE_ACID_METABOLISM	H3K27	12	33	2370	12887	0.005063291139240506	0.0025607201055327074	0.9835258709845919	1.9822654021127304	0.05945160394692811	Adult > Neonate	0.7714442867375383
HALLMARK_INTERFERON_GAMMA_RESPONSE	H3K4	89	100	5386	7977	0.016524322317118454	0.012536041118214868	0.3985092892688248	1.3234906550877856	0.06171554293900307	Adult > Neonate	0.7714442867375383
HALLMARK_E2F_TARGETS	H3K27	5	9	2370	12887	0.002109704641350211	0.0006983782105998293	1.5949605830669389	3.0251350716466994	0.053194328630179255	Adult > Neonate	0.7714442867375383
HALLMARK_MYC_TARGETS_V1	H3K4	123	150	5386	7977	0.02283698477534348	0.018804061677322303	0.2803278629205109	1.219483184495535	0.11897540311246962	Adult > Neonate	0.7931693540831308
HALLMARK_E2F_TARGETS	H3K4	117	141	5386	7977	0.021722985518009656	0.017675817976682964	0.29744541526176294	1.2340506293333549	0.09610410403676081	Adult > Neonate	0.7931693540831308
HALLMARK_XENOBIOTIC_METABOLISM	H3K27	14	46	2370	12887	0.00590717299578059	0.003569488631954683	0.7267504556224803	1.6587989960876948	0.10635121100898937	Adult > Neonate	0.7931693540831308
HALLMARK_TNFA_SIGNALING_VIA_NFKB	H3K4	123	148	5386	7977	0.02283698477534348	0.018553340854958005	0.29969318778744186	1.2362785072741371	0.09113143965880671	Adult > Neonate	0.7931693540831308
HALLMARK_MYOGENESIS	H3K4	36	76	5386	7977	0.006683995544002971	0.0095273912498433	-0.5113704639241212	0.6995474667978357	0.08189877502893704	Neonate > Adult	0.7931693540831308
HALLMARK_ESTROGEN_RESPONSE_EARLY	H3K27	17	143	2370	12887	0.007172995780590718	0.011096453790641732	-0.6294510059061609	0.6438678193884314	0.09889836820476329	Neonate > Adult	0.7931693540831308
HALLMARK_APICAL_JUNCTION	H3K4	72	83	5386	7977	0.013367991088005942	0.01040491412811834	0.3615176181725398	1.2886351578689617	0.11835743322142686	Adult > Neonate	0.7931693540831308
HALLMARK_APICAL_JUNCTION	H3K27	20	152	2370	12887	0.008438818565400843	0.01179483200124156	-0.4830419289343341	0.7130459126539753	0.16925843508953195	Neonate > Adult	0.8425298152284936
HALLMARK_P53_PATHWAY	H3K27	17	63	2370	12887	0.007172995780590718	0.004888647474198805	0.5531404073723123	1.4706521225858242	0.1630943325149001	Adult > Neonate	0.8425298152284936
HALLMARK_TNFA_SIGNALING_VIA_NFKB	H3K27	9	83	2370	12887	0.0037974683544303796	0.0064405990533095364	-0.7621569402827232	0.5880497849083756	0.14838718761750413	Neonate > Adult	0.8425298152284936
HALLMARK_ALLOGRAFT_REJECTION	H3K4	94	115	5386	7977	0.017452655031563312	0.014416447285947098	0.27573084881041393	1.2143481547208255	0.17693126119798364	Adult > Neonate	0.8425298152284936
HALLMARK_IL2_STAT5_SIGNALING	H3K27	11	94	2370	12887	0.004641350210970464	0.0072941724218204395	-0.6521997434184512	0.6346134766805264	0.17624139454941143	Neonate > Adult	0.8425298152284936
HALLMARK_KRAS_SIGNALING_UP	H3K27	24	95	2370	12887	0.010126582278481013	0.007371770000775976	0.45806438201209754	1.3775205276618656	0.16244522438351472	Adult > Neonate	0.8425298152284936
HALLMARK_NOTCH_SIGNALING	H3K27	3	38	2370	12887	0.0012658227848101266	0.00294870800031039	-1.22000752310054	0.42855713428056835	0.1938861203567928	Neonate > Adult	0.881300547076331
HALLMARK_PI3K_AKT_MTOR_SIGNALING	H3K4	60	71	5386	7977	0.011139992573338284	0.008900589193932556	0.32377552418098837	1.2544361172668756	0.2104604001537146	Adult > Neonate	0.9150452180596286
HALLMARK_SPERMATOGENESIS	H3K27	6	58	2370	12887	0.002531645569620253	0.004500659579421122	-0.8300610047845267	0.5613950638893751	0.22471606455849524	Neonate > Adult	0.9363169356603969
HALLMARK_WNT_BETA_CATENIN_SIGNALING	H3K27	1	20	2370	12887	0.0004219409282700422	0.0015519515791107318	-1.878970605265473	0.27157028281975515	0.23475077351948515	Neonate > Adult	0.9390030940779406
HALLMARK_HYPOXIA	H3K27	7	63	2370	12887	0.002953586497890295	0.004888647474198805	-0.7269675118204231	0.6029999529787934	0.24703890028857436	Neonate > Adult	0.9501496164945168
HALLMARK_ANDROGEN_RESPONSE	H3K4	54	65	5386	7977	0.010025993316004456	0.008148426726839663	0.2991517372121662	1.2327543424317617	0.2612689198037108	Adult > Neonate	0.9676626659396697
HALLMARK_DNA_REPAIR	H3K27	2	19	2370	12887	0.0008438818565400844	0.001474354000155195	-0.8049700238216964	0.5720128022759602	0.7610816504983675	Neonate > Adult	1.0
HALLMARK_GLYCOLYSIS	H3K27	14	73	2370	12887	0.00590717299578059	0.005664623263754171	0.06048785279947594	1.043072772519013	0.8818830966078459	Adult > Neonate	1.0
HALLMARK_ANDROGEN_RESPONSE	H3K27	6	27	2370	12887	0.002531645569620253	0.002095134631799488	0.2730324881795766	1.208873848467757	0.6314678837564114	Adult > Neonate	1.0
