#plotCorrelation --outFileCorMatrix
	'nH3K4_A_R2'	'nH3K4_N_R1'	'nH3K4_N_R3'	'nH3K4_N_R2'	'nIgG_N_R1'	'nH3K4_A_R1'	'nIgG_A_R1'	'nH3K27_N_R1'	'nH3K27_A_R3'	'nH3K27_A_R1'	'nH3K27_A_R2'	'nH3K4_A_R3'	'nH3K27_N_R2'	'nH3K27_N_R3'	'H3K27_A_R2'	'H3K27_N_R4'	'H3K27_N_R1'	'H3K27_N_R3'	'H3K27_N_R2'	'H3K27_A_R3'	'H3K27_A_R1'	'H3K27_A_R4'	'IgG_A_R1'	'IgG_N_R1'	'H3K4_N_R1'	'H3K4_A_R4'	'H3K4_N_R2'	'H3K4_N_R3'	'H3K4_N_R4'	'H3K4_A_R2'	'H3K4_A_R1'	'H3K4_A_R3'
'nH3K4_A_R2'	1.0000	0.3054	0.3164	0.3237	0.3506	0.3615	0.3981	0.2935	0.3370	0.3448	0.3402	0.3030	0.2950	0.3039	0.2419	0.2295	0.2257	0.2248	0.1900	0.2032	0.2312	0.2245	0.2947	0.3083	0.2619	0.2877	0.2341	0.2367	0.2623	0.2689	0.2615	0.2849
'nH3K4_N_R1'	0.3054	1.0000	0.3170	0.3277	0.3445	0.3488	0.3764	0.2954	0.3292	0.3370	0.3286	0.2810	0.2924	0.3041	0.2658	0.2636	0.2622	0.2630	0.2127	0.2127	0.2479	0.2395	0.3386	0.3659	0.3167	0.3271	0.2761	0.2839	0.3065	0.3033	0.3024	0.3218
'nH3K4_N_R3'	0.3164	0.3170	1.0000	0.3353	0.3562	0.3556	0.3870	0.3042	0.3376	0.3454	0.3392	0.2927	0.3048	0.3136	0.2539	0.2513	0.2490	0.2493	0.2039	0.2055	0.2396	0.2317	0.3205	0.3473	0.2883	0.3042	0.2448	0.2510	0.2801	0.2770	0.2732	0.2950
'nH3K4_N_R2'	0.3237	0.3277	0.3353	1.0000	0.3639	0.3679	0.3972	0.3122	0.3485	0.3559	0.3479	0.2976	0.3107	0.3216	0.2767	0.2728	0.2716	0.2719	0.2204	0.2221	0.2581	0.2487	0.3510	0.3776	0.3237	0.3356	0.2785	0.2861	0.3123	0.3107	0.3069	0.3294
'nIgG_N_R1'	0.3506	0.3445	0.3562	0.3639	1.0000	0.3903	0.4425	0.3317	0.3714	0.3791	0.3722	0.3264	0.3331	0.3436	0.2737	0.2759	0.2734	0.2743	0.2200	0.2202	0.2606	0.2525	0.3569	0.3979	0.3137	0.3288	0.2554	0.2650	0.3020	0.2913	0.2904	0.3122
'nH3K4_A_R1'	0.3615	0.3488	0.3556	0.3679	0.3903	1.0000	0.4424	0.3325	0.3799	0.3899	0.3814	0.3321	0.3286	0.3411	0.2950	0.2809	0.2790	0.2783	0.2292	0.2403	0.2752	0.2659	0.3677	0.3838	0.3327	0.3539	0.2946	0.3005	0.3264	0.3321	0.3263	0.3509
'nIgG_A_R1'	0.3981	0.3764	0.3870	0.3972	0.4425	0.4424	1.0000	0.3623	0.4223	0.4353	0.4252	0.3668	0.3543	0.3717	0.3394	0.3264	0.3240	0.3239	0.2680	0.2791	0.3183	0.3083	0.4200	0.4456	0.3454	0.3700	0.2760	0.2859	0.3320	0.3291	0.3252	0.3525
'nH3K27_N_R1'	0.2935	0.2954	0.3042	0.3122	0.3317	0.3325	0.3623	1.0000	0.3263	0.3373	0.3330	0.2702	0.2904	0.2994	0.2824	0.2833	0.2814	0.2825	0.2434	0.2372	0.2665	0.2569	0.3170	0.3404	0.2810	0.2926	0.2337	0.2405	0.2701	0.2667	0.2628	0.2837
'nH3K27_A_R3'	0.3370	0.3292	0.3376	0.3485	0.3714	0.3799	0.4223	0.3263	1.0000	0.3949	0.3905	0.3103	0.3234	0.3349	0.3338	0.3267	0.3241	0.3247	0.2867	0.2877	0.3171	0.3056	0.3544	0.3705	0.3002	0.3203	0.2448	0.2523	0.2885	0.2902	0.2828	0.3086
'nH3K27_A_R1'	0.3448	0.3370	0.3454	0.3559	0.3791	0.3899	0.4353	0.3373	0.3949	1.0000	0.4113	0.3168	0.3310	0.3461	0.3845	0.3764	0.3745	0.3757	0.3390	0.3371	0.3643	0.3513	0.3836	0.3973	0.3231	0.3425	0.2629	0.2717	0.3084	0.3110	0.3047	0.3311
'nH3K27_A_R2'	0.3402	0.3286	0.3392	0.3479	0.3722	0.3814	0.4252	0.3330	0.3905	0.4113	1.0000	0.3137	0.3312	0.3428	0.3740	0.3676	0.3638	0.3644	0.3384	0.3365	0.3605	0.3478	0.3508	0.3622	0.2915	0.3159	0.2387	0.2447	0.2820	0.2869	0.2781	0.3055
'nH3K4_A_R3'	0.3030	0.2810	0.2927	0.2976	0.3264	0.3321	0.3668	0.2702	0.3103	0.3168	0.3137	1.0000	0.2752	0.2828	0.2084	0.1999	0.1957	0.1949	0.1631	0.1754	0.2023	0.1957	0.2584	0.2754	0.2281	0.2523	0.2005	0.2028	0.2284	0.2319	0.2254	0.2461
'nH3K27_N_R2'	0.2950	0.2924	0.3048	0.3107	0.3331	0.3286	0.3543	0.2904	0.3234	0.3310	0.3312	0.2752	1.0000	0.3038	0.2460	0.2533	0.2499	0.2503	0.2163	0.2107	0.2401	0.2322	0.2754	0.3049	0.2459	0.2615	0.2032	0.2085	0.2388	0.2334	0.2286	0.2495
'nH3K27_N_R3'	0.3039	0.3041	0.3136	0.3216	0.3436	0.3411	0.3717	0.2994	0.3349	0.3461	0.3428	0.2828	0.3038	1.0000	0.2696	0.2755	0.2726	0.2733	0.2357	0.2288	0.2601	0.2517	0.3034	0.3329	0.2712	0.2852	0.2244	0.2312	0.2616	0.2564	0.2527	0.2739
'H3K27_A_R2'	0.2419	0.2658	0.2539	0.2767	0.2737	0.2950	0.3394	0.2824	0.3338	0.3845	0.3740	0.2084	0.2460	0.2696	1.0000	0.7461	0.7637	0.7623	0.7500	0.7200	0.7249	0.6975	0.5674	0.5570	0.4801	0.4850	0.3895	0.4106	0.4363	0.4511	0.4552	0.4788
'H3K27_N_R4'	0.2295	0.2636	0.2513	0.2728	0.2759	0.2809	0.3264	0.2833	0.3267	0.3764	0.3676	0.1999	0.2533	0.2755	0.7461	1.0000	0.7964	0.7975	0.7779	0.6945	0.7130	0.6848	0.5587	0.5886	0.5015	0.4851	0.3956	0.4237	0.4478	0.4378	0.4529	0.4684
'H3K27_N_R1'	0.2257	0.2622	0.2490	0.2716	0.2734	0.2790	0.3240	0.2814	0.3241	0.3745	0.3638	0.1957	0.2499	0.2726	0.7637	0.7964	1.0000	0.8181	0.7898	0.7044	0.7265	0.6971	0.5833	0.6182	0.5286	0.5047	0.4135	0.4446	0.4673	0.4533	0.4730	0.4850
'H3K27_N_R3'	0.2248	0.2630	0.2493	0.2719	0.2743	0.2783	0.3239	0.2825	0.3247	0.3757	0.3644	0.1949	0.2503	0.2733	0.7623	0.7975	0.8181	1.0000	0.7867	0.6990	0.7235	0.6943	0.5900	0.6287	0.5379	0.5117	0.4207	0.4530	0.4746	0.4583	0.4798	0.4903
'H3K27_N_R2'	0.1900	0.2127	0.2039	0.2204	0.2200	0.2292	0.2680	0.2434	0.2867	0.3390	0.3384	0.1631	0.2163	0.2357	0.7500	0.7779	0.7898	0.7867	1.0000	0.7419	0.7308	0.7023	0.4396	0.4365	0.3653	0.3744	0.2967	0.3111	0.3371	0.3477	0.3475	0.3700
