Sample	PE mapped uniquely	PE multimapped	PE neither mate aligned
H3K27_A_R1	9564015.0	2171951.0	659015.0
H3K27_A_R2	10901626.0	2526672.0	463664.0
H3K27_A_R3	9571923.0	2077043.0	415080.0
H3K27_A_R4	8039800.0	1832764.0	638409.0
H3K27_N_R1	10108390.0	2089387.0	1103817.0
H3K27_N_R2	11751706.0	2237134.0	672862.0
H3K27_N_R3	9637259.0	2030369.0	1140433.0
H3K27_N_R4	9483751.0	2125773.0	782928.0
H3K4_A_R1	6678615.0	1890191.0	989040.0
H3K4_A_R2	6120524.0	1703015.0	507445.0
H3K4_A_R3	8980913.0	2524997.0	802666.0
H3K4_A_R4	6251798.0	1869173.0	797028.0
H3K4_N_R1	4696743.0	1370849.0	1790160.0
H3K4_N_R2	6123381.0	1639708.0	1037520.0
H3K4_N_R3	7063115.0	1912487.0	1867991.0
H3K4_N_R4	4466640.0	1324255.0	759816.0
IgG_A_R1	8341214.0	2602894.0	34991330.0
IgG_N_R1	28382994.0	9731614.0	7474105.0
nH3K27_A_R1	9551671.0	3502322.0	1467010.0
nH3K27_A_R2	9665953.0	3520792.0	1173236.0
nH3K27_A_R3	8634713.0	3167942.0	1120737.0
nH3K27_N_R1	5221465.0	2038735.0	4620285.0
nH3K27_N_R2	6040086.0	2470943.0	4479035.0
nH3K27_N_R3	7086696.0	2833790.0	5209976.0
nH3K4_A_R1	10359230.0	3847710.0	859669.0
nH3K4_A_R2	9370298.0	3439363.0	473105.0
nH3K4_A_R3	7612537.0	2846052.0	325828.0
nH3K4_N_R1	6583273.0	2558067.0	5358673.0
nH3K4_N_R2	7359259.0	2837076.0	5185964.0
nH3K4_N_R3	7219138.0	2807880.0	4773745.0
nIgG_A_R1	20194217.0	7498602.0	2688605.0
nIgG_N_R1	10756541.0	4462095.0	10520114.0
