Sample	Reads passing filters
H3K27_A_R1	12486902.0
H3K27_A_R2	14049815.0
H3K27_A_R3	12282403.0
H3K27_A_R4	10732161.0
H3K27_N_R1	13543659.0
H3K27_N_R2	14834668.0
H3K27_N_R3	13188529.0
H3K27_N_R4	12607507.0
H3K4_A_R1	9810628.0
H3K4_A_R2	8493563.0
H3K4_A_R3	12485907.0
H3K4_A_R4	9046349.0
H3K4_N_R1	8386592.0
H3K4_N_R2	8965953.0
H3K4_N_R3	11120999.0
H3K4_N_R4	6675010.0
IgG_A_R1	46126494.0
IgG_N_R1	46381098.0
nH3K27_A_R1	14624713.0
nH3K27_A_R2	14451466.0
nH3K27_A_R3	13016024.0
nH3K27_N_R1	11983447.0
nH3K27_N_R2	13094668.0
nH3K27_N_R3	15271757.0
nH3K4_A_R1	15185929.0
nH3K4_A_R2	13388816.0
nH3K4_A_R3	10840501.0
nH3K4_N_R1	14729818.0
nH3K4_N_R2	15522683.0
nH3K4_N_R3	14931976.0
nIgG_A_R1	30607068.0
nIgG_N_R1	26005047.0
