Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1 - Adapter 1	3063731	975888	254537	56068	11142	686	333	246	436	500	313	190	119	140	126	125	139	102	177	129	34	26	79	105	10	43	119	22	45	13	45	30	160	17	32	99	19	76	58	303	35	92	86	46	883	571	92	466	3043	902
H3K27_A_R2 - Adapter 1	3361739	1118016	287670	61747	13348	1158	708	525	678	843	575	416	343	312	319	279	234	210	493	50	32	58	124	215	8	89	262	30	50	24	53	73	49	280	36	269	34	107	116	404	249	51	233	59	667	730	116	743	2257	1068
H3K27_A_R3 - Adapter 1	2962192	961065	250820	55153	11176	689	399	314	446	589	340	267	147	203	186	174	150	141	371	42	23	38	106	145	19	57	209	30	51	19	78	48	266	197	53	44	78	122	196	37	371	261	140	95	1187	784	135	636	3526	1541
H3K27_A_R4 - Adapter 1	2600310	822999	214102	48079	9413	702	379	344	414	548	350	269	208	192	202	171	168	153	390	38	20	48	111	182	22	75	228	44	58	29	78	62	177	109	198	41	259	56	293	284	155	59	117	82	696	1108	200	1092	3509	1884
H3K27_N_R1 - Adapter 1	3190655	1056240	269804	58704	12604	1791	1225	1110	1211	1344	828	827	544	580	564	511	430	308	748	63	28	92	156	218	19	98	290	47	78	25	88	56	309	147	46	146	236	57	90	233	297	41	234	68	649	1090	166	1252	3045	1782
H3K27_N_R2 - Adapter 1	3546975	1180000	304719	66181	14118	1485	995	813	999	1001	733	613	446	407	413	367	299	247	559	41	24	61	105	138	32	70	290	25	68	28	79	45	178	154	47	180	37	121	41	139	250	28	160	62	529	878	132	760	2751	1021
H3K27_N_R3 - Adapter 1	3056172	1016795	258891	56172	12554	1809	1257	1124	1215	1275	902	915	576	617	508	488	469	364	813	51	36	80	195	261	26	88	383	58	102	48	61	103	215	149	54	200	52	376	140	70	724	349	208	154	1255	1511	251	1305	4099	2069
H3K27_N_R4 - Adapter 1	3002866	984600	253441	55620	11679	1416	958	841	994	915	717	656	475	464	337	373	350	244	563	53	30	54	143	196	21	76	223	25	54	27	80	77	53	376	22	189	47	115	37	114	1151	95	170	447	1138	487	175	288	2233	1925
H3K4_A_R1 - Adapter 1	2309395	725972	183576	39773	8193	806	438	426	461	523	372	287	236	225	199	200	179	152	278	171	49	36	137	204	17	89	308	30	93	24	156	50	427	64	66	272	28	149	149	1007	72	245	271	149	1975	1380	231	1089	6563	2266
H3K4_A_R2 - Adapter 1	2036797	640104	172045	35997	7356	679	346	299	429	393	330	245	181	148	147	161	140	122	110	98	123	71	129	76	69	70	62	65	83	52	48	75	53	214	70	87	187	109	131	216	644	1236	6636	14501	5179	654	8165	22684	8750	91525
