Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1 - Adapter 1	0.9814222935360588	1.2504468682321086	1.3045967408786323	1.1494761875474095	0.9137130767085991	0.22502132126221874	0.436950531426322	1.2913385826771653	9.159663865546218	42.016806722689076	104.33333333333333	271.42857142857144	595.0	700.0	630.0	625.0	695.0	510.0	885.0	645.0	170.0	130.0	395.0	525.0	50.0	215.0	595.0	110.0	225.0	65.0	225.0	150.0	800.0	85.0	160.0	495.0	95.0	380.0	290.0	1515.0	175.0	460.0	430.0	230.0	4415.0	2855.0	460.0	2330.0	15215.0	4510.0
H3K27_A_R2 - Adapter 1	0.9570913075070198	1.2732022993841114	1.3103999300318319	1.125084499317628	0.9728508436281477	0.3375994868954258	0.8256559766763848	2.448694029850746	12.649253731343283	62.91044776119403	174.24242424242425	520.0	1715.0	1560.0	1595.0	1395.0	1170.0	1050.0	2465.0	250.0	160.0	290.0	620.0	1075.0	40.0	445.0	1310.0	150.0	250.0	120.0	265.0	365.0	245.0	1400.0	180.0	1345.0	170.0	535.0	580.0	2020.0	1245.0	255.0	1165.0	295.0	3335.0	3650.0	580.0	3715.0	11285.0	5340.0
H3K27_A_R3 - Adapter 1	0.9646945965753674	1.2519569460152555	1.3069497818016023	1.1495453133825642	0.9317603901788319	0.22977389448409258	0.5322128851540616	1.6755602988260405	9.50959488272921	50.34188034188035	117.24137931034483	381.42857142857144	735.0	1015.0	930.0	870.0	750.0	705.0	1855.0	210.0	115.0	190.0	530.0	725.0	95.0	285.0	1045.0	150.0	255.0	95.0	390.0	240.0	1330.0	985.0	265.0	220.0	390.0	610.0	980.0	185.0	1855.0	1305.0	700.0	475.0	5935.0	3920.0	675.0	3180.0	17630.0	7705.0
H3K27_A_R4 - Adapter 1	0.9691655011356147	1.2269647523757004	1.2767726161369193	1.1468543145089152	0.8981356029234967	0.2679184795053813	0.5786259541984733	2.1001221001220998	10.122249388753056	53.72549019607843	134.6153846153846	448.33333333333337	1040.0	960.0	1010.0	855.0	840.0	765.0	1950.0	190.0	100.0	240.0	555.0	910.0	110.0	375.0	1140.0	220.0	290.0	145.0	390.0	310.0	885.0	545.0	990.0	205.0	1295.0	280.0	1465.0	1420.0	775.0	295.0	585.0	410.0	3480.0	5540.0	1000.0	5460.0	17545.0	9420.0
H3K27_N_R1 - Adapter 1	0.9423317444372789	1.2478045814974434	1.274947464720912	1.1096136652748612	0.9529570095719102	0.5416439847577572	1.4819743527703846	5.370101596516691	23.423597678916828	104.18604651162791	258.75	1033.75	2720.0	2900.0	2820.0	2555.0	2150.0	1540.0	3740.0	315.0	140.0	460.0	780.0	1090.0	95.0	490.0	1450.0	235.0	390.0	125.0	440.0	280.0	1545.0	735.0	230.0	730.0	1180.0	285.0	450.0	1165.0	1485.0	205.0	1170.0	340.0	3245.0	5450.0	830.0	6260.0	15225.0	8910.0
H3K27_N_R2 - Adapter 1	0.9564015857988868	1.2726944062276604	1.314624294139954	1.1420776249009885	0.9745288879685235	0.41002843968302183	1.0989617848464768	3.590989399293286	17.65017667844523	70.99290780141844	209.42857142857142	681.1111111111111	2230.0	2035.0	2065.0	1835.0	1495.0	1235.0	2795.0	205.0	120.0	305.0	525.0	690.0	160.0	350.0	1450.0	125.0	340.0	140.0	395.0	225.0	890.0	770.0	235.0	900.0	185.0	605.0	205.0	695.0	1250.0	140.0	800.0	310.0	2645.0	4390.0	660.0	3800.0	13755.0	5105.0
H3K27_N_R3 - Adapter 1	0.9269182473180784	1.2335507060620314	1.256320643196416	1.090343707114254	0.9747348478966412	0.5618186900214293	1.5614906832298137	5.58648111332008	24.15506958250497	101.19047619047619	290.96774193548384	1143.75	2880.0	3085.0	2540.0	2440.0	2345.0	1820.0	4065.0	255.0	180.0	400.0	975.0	1305.0	130.0	440.0	1915.0	290.0	510.0	240.0	305.0	515.0	1075.0	745.0	270.0	1000.0	260.0	1880.0	700.0	350.0	3620.0	1745.0	1040.0	770.0	6275.0	7555.0	1255.0	6525.0	20495.0	10345.0
H3K27_N_R4 - Adapter 1	0.9527231521232049	1.249541225723036	1.2865528246535525	1.129383671654338	0.9485867446393762	0.4600389863547758	1.244964262508122	4.371101871101871	20.665280665280665	76.25	239.0	820.0	2375.0	2320.0	1685.0	1865.0	1750.0	1220.0	2815.0	265.0	150.0	270.0	715.0	980.0	105.0	380.0	1115.0	125.0	270.0	135.0	400.0	385.0	265.0	1880.0	110.0	945.0	235.0	575.0	185.0	570.0	5755.0	475.0	850.0	2235.0	5690.0	2435.0	875.0	1440.0	11165.0	9625.0
H3K4_A_R1 - Adapter 1	0.9415890603537307	1.1839764943876372	1.1975646335632009	1.037841702589581	0.8551567213251641	0.33650634602538415	0.7314629258517035	2.8456913827655312	12.32620320855615	55.638297872340424	161.73913043478262	478.33333333333337	2360.0	2250.0	1990.0	2000.0	1790.0	1520.0	2780.0	1710.0	490.0	360.0	1370.0	2040.0	170.0	890.0	3080.0	300.0	930.0	240.0	1560.0	500.0	4270.0	640.0	660.0	2720.0	280.0	1490.0	1490.0	10070.0	720.0	2450.0	2710.0	1490.0	19750.0	13800.0	2310.0	10890.0	65630.0	22660.0
H3K4_A_R2 - Adapter 1	0.9592190942901326	1.2058147751228838	1.2963796012264162	1.0849659412863946	0.8868527337392248	0.32744984567901236	0.6674382716049383	2.307098765432099	13.24074074074074	48.51851851851852	165.0	490.0	1810.0	1480.0	1470.0	1610.0	1400.0	1220.0	1100.0	980.0	1230.0	710.0	1290.0	760.0	690.0	700.0	620.0	650.0	830.0	520.0	480.0	750.0	530.0	2140.0	700.0	870.0	1870.0	1090.0	1310.0	2160.0	6440.0	12360.0	66360.0	145010.0	51790.0	6540.0	81650.0	226840.0	87500.0	915250.0
H3K4_A_R3 - Adapter 1	0.9696474437996785	1.209130242454469	1.2866320198183117	1.0964855627384769	0.8854862916519729	0.26112915395466324	0.5694790709880593	1.6640419947506562	11.57563025210084	43.61344537815126	130.66666666666666	450.00000000000006	1090.0	970.0	1000.0	930.0	875.0	690.0	835.0	775.0	600.0	670.0	760.0	445.0	475.0	435.0	415.0	370.0	410.0	380.0	280.0	545.0	305.0	1100.0	550.0	510.0	910.0	520.0	845.0	1205.0	3425.0	7020.0	33370.0	78510.0	28425.0	3825.0	50005.0	133090.0	48235.0	483640.0
H3K4_A_R4 - Adapter 1	0.9738846240374901	1.1964287735622132	1.2813797318980227	1.0929244735732497	0.8689992415924296	0.33777053336955537	0.7625430175692809	2.4565217391304346	12.840579710144928	55.93023255813954	150.9090909090909	456.0	2220.0	1880.0	1940.0	1640.0	1470.0	1280.0	1070.0	770.0	1060.0	870.0	1030.0	530.0	590.0	650.0	380.0	550.0	650.0	430.0	530.0	760.0	400.0	1520.0	610.0	710.0	1230.0	810.0	1190.0	1520.0	4840.0	9970.0	53440.0	111350.0	32720.0	4710.0	66130.0	174920.0	57890.0	745100.0
H3K4_N_R1 - Adapter 1	0.8794246816823806	1.107783471522163	1.1107710974851286	0.9546063656704346	0.8305250305250306	0.7355311355311356	2.3305333072865797	8.4140625	34.59375	137.25	429.0	1542.0	6750.0	6190.0	4640.0	5030.0	3430.0	2930.0	3800.0	2390.0	2600.0	1550.0	2410.0	1530.0	930.0	1200.0	1480.0	1420.0	1570.0	1160.0	900.0	1790.0	1110.0	5940.0	1770.0	2080.0	3870.0	3260.0	4380.0	5660.0	18750.0	39280.0	221290.0	438300.0	92750.0	18510.0	286930.0	743450.0	191610.0	3190040.0
H3K4_N_R2 - Adapter 1	0.9327285327667573	1.191465456613561	1.1886032849607047	1.051500001427621	0.934808926654332	0.7313841936957515	2.1546052631578947	7.499999999999999	30.26315789473684	131.74418604651163	407.6190476190476	1538.0	5690.0	5050.0	4070.0	4020.0	3310.0	2430.0	5880.0	660.0	310.0	480.0	1480.0	1730.0	330.0	780.0	4530.0	220.0	820.0	210.0	1190.0	610.0	2770.0	1680.0	360.0	2280.0	390.0	1640.0	430.0	1910.0	3710.0	560.0	2650.0	570.0	11000.0	17350.0	2070.0	14740.0	50460.0	17960.0
