Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
H3K27_A_R1_1	0.0	0.0
H3K27_A_R1_2	0.11092392961312325	0.0
H3K27_A_R2_1	0.0	0.0
H3K27_A_R2_2	0.10737144256513227	0.0
H3K27_A_R3_1	0.0	0.0
H3K27_A_R3_2	0.1513008156633355	0.0
H3K27_A_R4_1	0.0	0.0
H3K27_A_R4_2	0.1573498476306618	0.0
H3K27_N_R1_1	0.0	0.0
H3K27_N_R1_2	0.13230745127238133	0.0
H3K27_N_R2_1	0.0	0.0
H3K27_N_R2_2	0.12596081955560137	0.0
H3K27_N_R3_1	0.0	0.0
H3K27_N_R3_2	0.1710485295159041	0.0
H3K27_N_R4_1	0.0	0.0
H3K27_N_R4_2	0.14700077111454618	0.0
H3K4_A_R1_1	0.0	0.0
H3K4_A_R1_2	0.19060780012567685	0.0
H3K4_A_R2_1	0.0	0.0
H3K4_A_R2_2	0.1484218430860028	0.0
H3K4_A_R3_1	0.0	0.0
H3K4_A_R3_2	0.16122904875429944	0.0
H3K4_A_R4_1	0.0	0.0
H3K4_A_R4_2	0.14618750237581324	0.0
H3K4_N_R1_1	0.0	0.0
H3K4_N_R1_2	0.2955552682242962	0.0
H3K4_N_R2_1	0.0	0.0
H3K4_N_R2_2	0.15251217273713671	0.0
H3K4_N_R3_1	0.0	0.0
H3K4_N_R3_2	0.17475757343529955	0.0
H3K4_N_R4_1	0.0	0.0
H3K4_N_R4_2	0.15470076454296336	0.0
IgG_A_R1_1	0.7433628911952467	0.654986679347653
IgG_A_R1_2	0.7718942399112424	0.7305274851194409
IgG_N_R1_1	0.16343957768669629	0.0
IgG_N_R1_2	1.9628038194453963	0.13285305948426296
nH3K27_A_R1_1	0.0	0.0
nH3K27_A_R1_2	0.0	0.0
nH3K27_A_R2_1	0.0	0.0
nH3K27_A_R2_2	0.0	0.0
nH3K27_A_R3_1	0.0	0.0
nH3K27_A_R3_2	0.0	0.0
nH3K27_N_R1_1	0.0	0.0
nH3K27_N_R1_2	0.0	0.0
nH3K27_N_R2_1	0.0	0.0
nH3K27_N_R2_2	0.0	0.0
nH3K27_N_R3_1	0.0	0.0
nH3K27_N_R3_2	0.0	0.0
nH3K4_A_R1_1	0.0	0.0
nH3K4_A_R1_2	0.0	0.0
nH3K4_A_R2_1	0.0	0.0
nH3K4_A_R2_2	0.0	0.0
nH3K4_A_R3_1	0.0	0.0
nH3K4_A_R3_2	0.0	0.0
nH3K4_N_R1_1	0.0	0.0
nH3K4_N_R1_2	0.10115163345025967	0.0
nH3K4_N_R2_1	0.0	0.0
nH3K4_N_R2_2	0.0	0.0
nH3K4_N_R3_1	0.0	0.0
nH3K4_N_R3_2	0.0	0.0
nIgG_A_R1_1	0.0	0.0
nIgG_A_R1_2	0.17060424817480574	0.0
nIgG_N_R1_1	0.1812131513768151	0.7120625516002137
nIgG_N_R1_2	2.8336574231460347	0.0
