Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
H3K27_A_R1	0.7305815325530705	0.0
H3K27_A_R2	0.43864634516539897	0.3313851463524609
H3K27_A_R3	1.72429613325666	0.0
H3K27_A_R4	0.8034542157912092	0.7204793144642538
H3K27_N_R1	0.7079918358842319	0.5312227663144797
H3K27_N_R2	1.1381650064564977	0.0
H3K27_N_R3	2.6928552835574004	0.0
H3K27_N_R4	1.6469631942302312	0.0
H3K4_A_R1	2.378512364346095	0.0
H3K4_A_R2	0.7269976098370025	0.5359117251499753
H3K4_A_R3	1.3404232467853556	0.0
H3K4_A_R4	0.5505204364766383	0.30698572429606685
H3K4_N_R1	5.408108561856831	0.0
H3K4_N_R2	0.6840209847185235	0.5603866092093055
H3K4_N_R3	2.2876721776523854	0.0
H3K4_N_R4	0.6802386812903651	0.5941114694959257
IgG_A_R1	1.4298810570775227	0.5499464147437696
IgG_N_R1	0.7469098726382027	0.5538808072202172
nH3K27_A_R1	0.6877673428531554	0.0
nH3K27_A_R2	0.6081320746282765	0.0
nH3K27_A_R3	0.4559917836660412	0.0
nH3K27_N_R1	0.22388382908523735	0.33500377645931095
nH3K27_N_R2	0.7599581753428188	0.0
nH3K27_N_R3	0.2661776244868223	0.2082340623937377
nH3K4_A_R1	0.1924347203256383	0.29007115731938427
nH3K4_A_R2	0.1969479601482312	0.2900779277271418
nH3K4_A_R3	0.5006871914868141	0.0
nH3K4_N_R1	1.384008953810563	0.0
nH3K4_N_R2	0.23222789513900396	0.3261034191060914
nH3K4_N_R3	0.8258116675247803	0.0
nIgG_A_R1	0.7011713764938217	0.17230333856219093
nIgG_N_R1	0.28709427058524445	1.2427856792567997
