Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1_1	0.0011617605545341297	0.008390492893857602	0.0010246082668460728	3.227112651483693e-05	0.0004356602079502986	0.00012908450605934773	0.0	0.00017749119583160313	0.0	0.6896823803118376	0.0	0.0	0.0	3.227112651483693e-05	0.0	0.0	0.0	2.4203344886127698e-05	0.0008067781628709233	0.0	0.0	0.00028237479461267617	0.0	0.0	2.420404396325729e-05	0.0	0.0	0.0	0.00012909510864281262	0.00015330281639058848	4.034364393151715e-05	0.0	6.455257520798639e-05	0.0	6.455602361362509e-05	0.000645579407114398	0.0006375318897082743	0.0002582503314078081	0.000387393849041172	9.68546219388794e-05	0.00033902026372547754	5.6509334454047984e-05	0.0	0.0	0.00050886918604839	0.00041251652796000626	6.505286236253618e-05	0.0	0.0	0.0
H3K27_A_R1_2	0.0004275924263215894	8.067781628709234e-05	0.0008309815077570511	0.0	3.227112651483693e-05	0.0	0.0	0.0006050836221531924	8.067781628709233e-06	8.874559791580156e-05	0.0004437279895790078	1.6135563257418467e-05	2.4203344886127698e-05	0.0	0.00013715228768805697	3.227112651483693e-05	0.0	0.0	0.0	0.0	0.0	0.00045987572221666874	0.0002501116022173442	0.0003792075804079418	0.00016136753173917812	0.0048330472637327735	1.613737944772401e-05	0.00018558432596741076	9.682869873525583e-05	4.841558778581235e-05	0.0007988799541652714	0.00031471980858579845	9.68400213338567e-05	0.0006617652458808947	8.070653731022866e-06	1.4204930204163133	0.00033899900213222304	0.0002502267377116878	0.0	0.0	0.0001856989522865112	3.229929821699799e-05	4.845544630736791e-05	1.615482787030904e-05	0.0	0.0	0.0	0.0004509958363897349	0.0	0.0
H3K27_A_R2_1	0.0010509674587362101	0.010336912813323272	0.0008134200194328202	2.1595221754853635e-05	0.0006190630236391375	0.00014396814503235756	0.0	0.00017276177403882908	0.0	0.6948406567769189	0.0	0.0	0.0	5.0388850761325144e-05	0.0	0.0	0.0	7.198407251617878e-05	0.0008782056846973811	0.0	0.0	0.00017996265558941333	0.0	0.0	1.439746846432498e-05	0.0	7.198953444943988e-05	0.0	0.0	0.0	0.0	0.0	5.0399839930108385e-05	0.0	0.00010080707585026808	0.000640872992870396	0.0006697067030295804	0.0	0.00043211925108548353	0.00023768426382521132	0.0	0.0	0.0001801312753503247	0.0	0.0006704545667544217	0.0	0.0	0.0	0.0	0.0
H3K27_A_R2_2	0.0005470789511229587	7.918247976779666e-05	0.0007774279831747308	0.0	0.0	0.0	0.0	0.0006334598381423733	0.0	0.00015116655228397544	0.0005614757656261945	7.198407251617878e-06	7.198407251617878e-06	0.0	0.00015116655228397544	0.0	0.0	0.0	7.198407251617878e-06	0.0	0.0	0.00027354853348471607	0.00035993930271550445	5.759143269847178e-05	0.0008134971414214386	0.004931491859078841	2.8797729356635687e-05	1.4399248244047675e-05	0.00019439578549937037	0.0	0.0007776374510196411	0.00029522590902577613	0.00028803859256278596	0.0008425591762795827	0.0	1.429579036624428	0.00012965103272089546	0.00012966157680146932	0.0	0.0	7.205827842972906e-06	0.0	7.207937611551844e-06	0.0	0.0	0.0	7.261462763582021e-06	8.943997161771567e-05	0.0	0.0
H3K27_A_R3_1	0.0012765203315703538	0.00937496425328617	0.0009946911674574184	1.6578186124290306e-05	0.0006631274449716123	0.00013262548899432245	0.0	0.00025696188492649975	0.0	0.6993259143740003	0.0	0.0	0.0	4.144546531072577e-05	0.0	1.6578186124290306e-05	0.0	4.9734558372870925e-05	0.000911800236835967	0.0	0.0	0.0002901209746440071	0.0	0.0	8.289388521650556e-06	0.0	8.28960360193224e-05	0.0	0.0	1.658010195436294e-05	0.0	0.0	5.8034528056999854e-05	0.0	9.949367667937865e-05	0.0008208521656028616	0.0007048023908223784	0.0001741353454534298	0.00048097204117817255	0.00019903750438815497	5.805852780659278e-05	2.4885231386614214e-05	4.977704446973303e-05	0.0	0.0006806707761473038	0.00010807038008685202	0.0	0.0	0.0	0.0
H3K27_A_R3_2	0.0006216819796608866	0.0001243363959321773	0.0008454874923388058	0.0	0.0	0.0	0.0	0.0006797056310959027	0.0	9.946911674574185e-05	0.0006051037935365963	1.6578186124290306e-05	2.4867279186435463e-05	0.0	9.11800236835967e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000480780907560172	0.00043934057797656974	0.000273556624065887	0.0005056751256167475	0.004708687669679591	1.6580271019452056e-05	0.00014093605416189142	0.0001658119475301357	4.974496172664098e-05	0.0008456931666002272	0.0004228608526615981	6.633380364000113e-05	0.0008706664030896882	8.2924219784674e-06	1.4353371019974936	0.0003649057834000544	0.0002819893252111561	0.0	0.0	0.00016592382569901218	0.0	4.149297706467394e-05	0.0	0.0	0.0	0.0	0.00032627147349263225	0.0	0.0
H3K27_A_R4_1	0.001350969125313137	0.00956143641506833	0.000903817372568648	1.902773415933996e-05	0.0003710408161071292	0.00012368027203570972	0.0	0.00024736054407141944	0.0	0.7118370487679876	0.0	0.0	0.0	1.902773415933996e-05	0.0	9.51386707966998e-06	0.0	5.708320247801988e-05	0.0008372203030109581	0.0	0.0	0.00036153114528975815	0.0	0.0	9.514281650328267e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.661054886521317e-05	0.0	0.00010468047332322818	0.0007708574761612325	0.0006281304211938056	0.0002664933698353109	0.0003426541610588775	8.566994132084963e-05	0.0	9.521230630484468e-06	0.00013331701786971784	0.0	0.0005621668387310084	5.72510015585631e-05	0.0	0.0	0.0	0.0
H3K27_A_R4_2	0.00041861015150547904	0.00017124960743405962	0.000846734170090628	0.0	0.0	0.0	0.0	0.0006659706955768986	0.0	0.0001807634745137296	0.00048520722106316894	0.0	0.0	0.0	8.562480371702981e-05	0.0	0.0	0.0	9.51386707966998e-06	0.0	0.0	0.0004757067956428302	0.00025688645999040954	0.0003234926550516946	0.0007897176854421254	0.004633739082049627	4.757545038251614e-05	0.00019030727011833305	8.56409199928252e-05	4.757978296957796e-05	0.0006471090024662466	0.0002950159061156607	0.00027599446754814224	0.0007804328356646385	2.8553874737006918e-05	1.4491721762901846	0.0001998998406607889	0.00015231449974063697	0.0	0.0	6.665635715009412e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0002659035170073367	0.0	0.0
H3K27_N_R1_1	0.0012705244198552444	0.009066582546422633	0.0009171833090079279	4.510737585284892e-05	0.0004811453424303884	0.000165393711460446	0.0	0.00027064425511709347	0.0	0.6974953528126028	0.0	0.0	0.0	4.510737585284892e-05	0.0	1.5035791950949637e-05	0.0	4.510737585284892e-05	0.0010149159566891005	0.0	0.0	0.0002556116723416217	0.0	0.0	3.7591130297624015e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.759883323300711e-05	0.0	0.00012032850886204426	0.0009326057704681208	0.000737108572783304	0.00011283120188924564	0.0005717309010095338	0.00023323123823969097	0.0	3.763006172308504e-05	0.0	0.0	0.0007457252992053281	0.0	0.0	0.0	0.0	0.0
H3K27_N_R1_2	0.0006089495740134604	0.0	0.0008871117251060286	0.0	0.0	0.0	0.0	0.0005262527182832373	0.0	5.262527182832373e-05	0.0005863958860870359	3.0071583901899275e-05	3.0071583901899275e-05	0.0	0.00014284002353402158	0.0	0.0	0.0	0.0	0.0	0.0	0.0004435700017366893	0.0004360603898530251	0.00018044259410588778	0.00017292796212065622	0.005030042662882029	1.5037855168762705e-05	6.767235302410828e-05	0.00020302374543168376	7.5196315019621725e-06	0.00094751289895933	0.00030833206491036715	7.520666980880133e-05	0.0010153507495319232	0.0	1.4288981095060282	0.0003535750537904261	0.00019561173658381856	0.0	0.0	0.00020321851462168502	0.0	6.0236423444287064e-05	0.0	0.0	0.0	0.0	0.0001478954631276372	0.0	0.0
