Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1	0.00042444475018703603	8.008391512962944e-05	0.0008248643258351832	0.0	3.203356605185177e-05	0.0	0.0	0.0006086377549851837	8.008391512962943e-06	8.809230664259238e-05	0.0004484699247259248	1.6016783025925885e-05	2.402517453888883e-05	0.0	0.00013614265572037002	3.203356605185177e-05	0.0	0.0	0.0	0.0	0.0	0.00045647831623888774	0.0002482601369018512	0.00037639440110925833	0.00016016783025925887	0.004805034907777766	1.6016783025925885e-05	0.0001841930047981477	9.610069815555532e-05	4.805034907777766e-05	0.0007928307597833314	0.00032033566051851774	9.610069815555532e-05	0.0006646964955759244	8.008391512962943e-06	1.4161318796287503	0.00034436083505740657	0.00025626852841481416	0.0	0.0	0.00019220139631111064	3.203356605185177e-05	4.805034907777766e-05	1.6016783025925885e-05	0.0	0.0	0.0	0.0004724950992648137	0.0	3.203356605185177e-05
H3K27_A_R2	0.0010391595903575955	0.01022789268043743	0.0008042810528110157	2.1352594322416345e-05	0.0006121077039092685	0.00014235062881610898	0.0	0.00017082075457933076	0.0	0.6875321845874839	0.0	0.0	0.0	4.9822720085638136e-05	0.0	0.0	0.0	7.117531440805449e-05	0.0008683388357782647	0.0	0.0	0.00017793828602013622	0.0	0.0	1.4235062881610897e-05	0.0	7.117531440805449e-05	0.0	0.0	0.0	0.0	0.0	4.9822720085638136e-05	0.0	9.964544017127627e-05	0.0006405778296724904	0.0006619304239949067	0.0	0.0004270518864483269	0.0002348785375465798	0.0	0.0	0.00017793828602013622	0.0	0.0006690479554357122	0.0	0.0	0.0	0.0	4.270518864483269e-05
H3K27_A_R3	0.000610629695182612	0.00012212593903652242	0.0008385981147174539	0.0	8.141729269101495e-06	0.0	0.0	0.0006839052586045255	0.0	0.00010584248049831942	0.0005943462366444091	1.628345853820299e-05	2.4425187807304482e-05	0.0	8.955902196011644e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0004885037561460897	0.0004396533805314807	0.00028496052441855227	0.0004966454854151912	0.004665210871195156	1.628345853820299e-05	0.0001465511268438269	0.0001709763146511314	4.8850375614608964e-05	0.0008385981147174539	0.00042336992199327767	6.513383415281196e-05	0.0008630233025247584	8.141729269101495e-06	1.4241024333756187	0.00035823608784046575	0.0002768187951494508	0.0	0.0	0.00016283458538202987	0.0	4.070864634550747e-05	0.0	0.0	0.0	0.0	0.00032566917076405974	0.0	3.256691707640598e-05
H3K27_A_R4	0.0013231258830351128	0.009364376848241467	0.0008851898513263079	1.8635575817395955e-05	0.00036339372843922116	0.00012113124281307371	0.0	0.00024226248562614743	0.0	0.698042081180109	0.0	0.0	0.0	1.8635575817395955e-05	0.0	9.317787908697978e-06	0.0	5.5906727452187866e-05	0.00082928312387412	0.0	0.0	0.0003540759405305232	0.0	0.0	9.317787908697978e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.454230326958382e-05	0.0	0.00010249566699567775	0.0007547408206045362	0.0006149740019740665	0.0002608980614435434	0.0003354403647131272	8.38600911782818e-05	0.0	9.317787908697978e-06	0.0001397668186304697	0.0	0.0005497494866131807	5.5906727452187866e-05	0.0	0.0	0.0	4.6588939543489885e-05
H3K27_N_R1	0.0012478164135703654	0.008904536063703318	0.0009007905470744648	4.430117444628516e-05	0.00047254586076037503	0.00016243763963637891	0.0	0.0002658070466777109	0.0	0.6855532910271884	0.0	0.0	0.0	4.430117444628516e-05	0.0	1.476705814876172e-05	0.0	4.430117444628516e-05	0.0010263105413389395	0.0	0.0	0.00025103998852894923	0.0	0.0	3.69176453719043e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69176453719043e-05	0.0	0.00011813646519009376	0.0009155576052232267	0.000738352907438086	0.0001107529361157129	0.0005611482096529453	0.00022888940130580667	0.0	3.69176453719043e-05	0.0	0.0	0.0007309693783637051	0.0	0.0	0.0	0.0	7.38352907438086e-06
H3K27_N_R2	0.0005325363533582281	0.00015504222945872466	0.0008830666112649101	0.0	6.74096649820542e-06	0.0	0.0	0.00048534958787079023	0.0	0.000337048324910271	0.0005190544203618173	0.0	6.74096649820542e-06	0.0	8.763256447667046e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0004381628223833523	0.00034378929140847645	0.0003100844589174493	0.0011864101036841539	0.004927646510188162	2.022289949461626e-05	0.00017526512895334092	0.00016178319595693008	4.044579898923252e-05	0.0007954340467882397	0.0003640121909030927	0.00046512668837617394	0.0008561027452720883	2.696386599282168e-05	1.4084373172355458	0.0003707531574012981	0.00024941576043360054	0.0	1.348193299641084e-05	0.00035727122440488724	0.0	0.0001415602964623138	0.0	0.0	0.0	0.0	0.0002022289949461626	0.0	2.696386599282168e-05
H3K27_N_R3	0.000492852538747877	0.0001592292817493141	0.0008188934489964726	0.0	0.0	0.0	0.0	0.0006596641672471585	7.58234674996734e-06	5.3076427249771374e-05	0.0005004348854978443	2.2747040249902018e-05	2.2747040249902018e-05	0.0	0.00012889989474944476	7.58234674996734e-06	0.0	0.0	0.0	0.0	7.58234674996734e-06	0.00033362325699856296	0.00034120560374853025	0.0001971410154991508	0.00028054682974879155	0.005027095895228346	1.516469349993468e-05	6.065877399973872e-05	0.0001516469349993468	0.0	0.0007127405944969299	0.00034120560374853025	6.065877399973872e-05	0.0007658170217467012	0.0	1.4300609264308402	0.0002350527492489875	0.0001592292817493141	0.0	0.0	9.85705077495754e-05	0.0	1.516469349993468e-05	0.0	0.0	0.0	0.0	0.00014406458824937945	0.0	2.2747040249902018e-05
H3K27_N_R4	0.0004759069338609132	0.00016656742685131962	0.0010073363433389328	0.0	0.0	0.0	0.0	0.0005314294094780197	4.759069338609132e-05	0.00014277208015827395	0.0004997022805539588	1.586356446203044e-05	2.379534669304566e-05	0.0	0.00010311316900319786	0.0	0.0	0.0	0.0	7.93178223101522e-06	8.724960454116742e-05	0.00019829455577538048	0.000325203071471624	3.172712892406088e-05	0.0008090417875635525	0.004648024387374918	2.379534669304566e-05	3.96589111550761e-05	0.00011104495123421308	7.138604007913697e-05	0.0006979968363293393	0.00030140772477857836	0.0003410666359336545	0.0007138604007913697	7.93178223101522e-06	1.4335823886514598	0.00025381703139248707	0.00018243099131335006	0.0	0.0	0.00018243099131335006	2.379534669304566e-05	4.759069338609132e-05	0.0	0.0	0.0	0.0	0.00040452089378177625	0.0	2.379534669304566e-05
H3K4_A_R1	0.0004688792603286966	8.15442191875994e-05	0.0009275654932589432	0.0	0.0	0.0	0.0	0.000550423479516296	3.0579082195349776e-05	4.07721095937997e-05	0.0005300374247193962	1.0193027398449925e-05	2.038605479689985e-05	0.0	9.173724658604933e-05	2.038605479689985e-05	0.0	0.0	0.0	0.0	0.0	0.0003261768767503976	0.0002955977945550478	0.0003057908219534978	0.0002344396301643483	0.004943618288248214	3.0579082195349776e-05	0.0001223163287813991	2.038605479689985e-05	5.0965136992249634e-05	0.0006625467808992452	0.0003057908219534978	8.15442191875994e-05	0.0007746700822821944	4.07721095937997e-05	1.4378284448253464	0.0003261768767503976	0.00017328146577364875	0.0	0.0	0.0001630884383751988	0.0	3.0579082195349776e-05	0.0	0.0	0.0	0.0	0.0005300374247193962	0.0	0.0
H3K4_A_R2	0.0010125314900236802	0.011161393634214522	0.0009183425142075239	1.1773621977019537e-05	0.0004356240131497229	0.0001177362197701954	0.0	0.00017660432965529307	0.0	0.6920888206751395	0.0	0.0	0.0	4.709448790807815e-05	0.0	1.1773621977019537e-05	0.0	2.3547243954039075e-05	0.0009772106240926216	0.0	0.0	0.0003296614153565471	0.0	0.0	3.5320865931058616e-05	0.0	4.709448790807815e-05	0.0	0.0	0.0	0.0	0.0	3.5320865931058616e-05	0.0	0.000153057085701254	0.0007299645625752114	0.0007064173186211723	0.0	0.0002354724395403908	1.1773621977019537e-05	0.0	1.1773621977019537e-05	0.00016483070767827354	0.0	0.0003885295252416448	0.0	0.0	0.0	0.0	0.0
