Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1	32.64960564277673	32.986500254426595	32.74158602349886	32.93203630492175	32.95007889066479	33.03206848263885	33.00649160216041	33.03814316793709	33.06176904407514	33.04481688092051	33.06667914907957	33.05309035019255	33.060607827305766	33.054028613342204	33.0368019225265	33.04568467022485	33.05367432210167	33.06838221361872	33.063886622959004	33.03792389817747	33.02725015380116	33.02514426716891	33.04312919249306	33.02707605136967	32.9927801147154	33.0946548631518	33.1216442637253	33.076657765072554	33.09484898656208	33.077941990735575	33.0729665372564	33.07451503983935	33.06685837688163	33.06113654131345	33.06078993812877	32.496498811314446	33.03793735227521	33.05389535370743	33.04305391361284	33.06058123944594	33.047171668360974	33.05250365543031	33.046325661881546	33.04339747360875	33.04701998942572	33.03034876064535	33.024531785385996	33.00457871776362	32.99592132620245	32.86932146980892
H3K27_A_R2	33.143687941798525	33.14662847873797	32.930950051655486	33.08880351805344	33.13850623655899	33.23186917407809	33.212982519698656	33.243558153612696	33.256224654915385	33.0227663495925	33.26684927879833	33.26236224462742	33.25507218422449	33.25439516463384	33.2493260587417	33.2445832204908	33.25841770870293	33.251300604314004	33.2431906042891	33.240807370061454	33.23673799263549	33.23596090055278	33.22066902660284	33.2348480033367	33.2162396444366	33.28213645517752	33.26592883963241	33.26056093977038	33.25972092870974	33.2483187856922	33.24813344517348	33.12642593514577	33.252025880767825	33.26431230589157	33.252992868589374	33.249385134252655	33.24949944180759	33.23463020687461	33.24188923484046	33.23432828119089	33.17877979176238	33.20301014639695	33.2134297853744	33.1678536692476	33.0334450667144	32.997829793488386	33.19228189125622	33.08426239064358	32.98972107461913	32.928508738371285
H3K27_A_R3	32.65351022922795	32.98569962245987	32.73587815022842	32.93476414997944	32.95166230907746	33.037741718782556	33.00479539712221	33.028866745375474	33.04635290016131	33.019913285698244	33.036375536611196	33.01926015617628	33.02511796755081	33.014914752430776	32.99758198782437	33.006681672959274	33.01368681682241	33.03239064863773	33.03082271441509	33.0025731935355	32.9958806920763	32.99797099964885	33.01888987032912	33.00505267576711	32.96464120253992	33.05626659538854	33.07917758438638	33.017523688157766	33.0275888195494	33.0069275531832	32.99584633397878	32.99481510254956	32.96895192251875	32.95958209480669	32.95656623545083	32.40041024545441	32.948976841095345	32.96040261828243	32.956241706122164	32.97020102662321	32.983974878531505	33.001438399309976	32.99632571899815	32.99912533402462	33.006260582721474	32.98790537975346	32.97506880371862	32.94627508965469	32.93132182684447	32.80568501131253
H3K27_A_R4	33.07522352674359	33.13163266931981	32.92916682856323	33.07007582163555	33.12005774046811	33.2094341484441	33.196744439447	33.228457530594255	33.233365395841524	32.97826952092873	33.24269343331692	33.23818791015155	33.236365350836614	33.236193344471815	33.232910128724306	33.22520916337353	33.2385993836656	33.229152823928004	33.224078542988686	33.217086661297756	33.21507960978222	33.21803390761656	33.19898592650632	33.217360604262275	33.197500298402154	33.26793532076159	33.25128499283602	33.2475660773259	33.24547348851736	33.23516782873459	33.23145413118569	33.01093004475054	33.234016150149074	33.25033196948872	33.24074862462462	33.23315854094995	33.23516671060003	33.22041329793692	33.22897802222684	33.2200480406509	33.125073319343606	33.163478445766884	33.1937303214143	33.09828169741397	32.847866333723466	32.80179863123559	33.163184003668974	32.94503688492932	32.779063601449884	32.770025347178446
H3K27_N_R1	33.17125276116299	33.14452084181978	32.90581060849214	33.07570738454062	33.11581840623719	33.20903044000148	33.19295753090062	33.232981722295285	33.24194532659158	32.99479601487309	33.24979254129183	33.24477720533277	33.241274311469304	33.2406425767217	33.237884976283	33.232221514141784	33.244461633300126	33.23796944385561	33.23172785138787	33.22504147512869	33.223499203575635	33.22453289764605	33.208668647076834	33.223269871162586	33.20506135011225	33.27244181206866	33.25316016890266	33.246679497763495	33.25344044766632	33.23878281341844	33.23743782976225	33.045179740570845	33.243141015289886	33.25649279858567	33.24515169792742	33.23738806477629	33.237848796990534	33.22559597816218	33.232056861443425	33.22658389435233	33.143465440173884	33.175638134421426	33.20176696710985	33.11808101488675	32.901303850015715	32.86010301942776	33.175931555866846	32.98481776601139	32.84373196342288	32.82063495544298
H3K27_N_R2	32.75314270599113	33.02381583463816	32.7198248049771	32.956587097196916	32.964818491387874	33.05040962157023	33.016708024743124	33.051843020686405	33.069825088097694	33.050883646334384	33.06847959118465	33.05430064225232	33.061543001838665	33.05161868132135	33.03287582843108	33.046487457622916	33.05019930341549	33.07196157001963	33.06698161360942	33.043276330821826	33.03663122086723	33.03702610668469	33.05429848514304	33.03790539835472	33.002756246381786	33.08984211847545	33.110935950841636	33.06132553825943	33.07459418707584	33.05720235869114	33.04736715375093	33.051232423941	33.044982604261854	33.052217818423706	33.057579583176384	32.50740643471091	33.0470736520696	33.056965481128394	33.03172487581117	33.04271790915712	33.033179711200816	33.02446202368668	33.02149330204087	33.00967436547956	33.00745914906892	32.9943245106665	32.98089421347347	32.95762291410903	32.94842702243151	32.82396019917668
H3K27_N_R3	32.7667182594814	33.02555182613618	32.78256172466239	32.9672525267981	32.98314376076362	33.053080749187416	33.02044117277977	33.04361434091702	33.05620695075243	33.022972918359585	33.033030294735674	33.010244432870415	33.01605766647668	33.00713855199469	32.98533081286018	32.997782694339904	33.00386980231078	33.02655360578879	33.03242067405698	32.995937757728704	32.98829323573539	33.000001743939755	33.02395953331869	33.00904035620652	32.96498980288097	33.047156510024735	33.063722117910196	32.99589347682369	33.004229357193665	32.98294358680942	32.96814148113106	32.98051708420249	32.94517303635607	32.94637013726095	32.94993702481907	32.398132195031	32.919165587003675	32.90669323318772	32.87545153822689	32.89522387219985	32.9196111256987	32.93170724346893	32.93116601555791	32.926315739988894	32.9175296198689	32.89440118757748	32.86739438492344	32.8313266779032	32.80680521686687	32.67767284736607
H3K27_N_R4	32.71561760782683	32.99630545515461	32.756800531619774	32.941554741948586	32.95866534121298	33.03033391137518	33.005738565126315	33.0315879261459	33.051902172253406	33.02904943856069	33.04649634539168	33.02572189727913	33.03802551924024	33.02284012215897	33.007694066717555	33.019504649095175	33.02298273560348	33.047760195572366	33.0449978730926	33.015717698986805	33.006122780657584	33.01203592431081	33.033088619344014	33.01615394700951	32.97921769942305	33.07203462191217	33.09550270327036	33.03902730333602	33.04993604207398	33.03429329842926	33.026026636352455	33.02839030745729	33.00488478808697	33.003675825839316	32.97500893713563	32.4170702423564	32.95129433598569	32.96219022523644	32.948241710276264	32.97207132226855	32.98584216530675	32.97924752292424	32.985301059122946	32.99202895544694	32.99925274679602	32.98857894744774	32.985170026080496	32.964761074493154	32.9603189591725	32.841926639422056
H3K4_A_R1	32.563670134062775	32.915483494023015	32.84488964416957	32.91431272289603	32.95315427310056	33.00750390291019	32.988953408487205	33.004223175111726	33.02710040580481	32.99240558300651	33.00093938940504	32.977016354100876	32.99286691942657	32.981984231794335	32.962277032622175	32.97653911655809	32.98102629107943	32.99753206420629	32.99853791214996	32.95532171844657	32.93661262051726	32.93792323998015	32.97562439427935	32.95898855812288	32.904122753405794	32.99819909591924	33.017301848566674	32.93353901503553	32.944231704637055	32.908900429207996	32.909358299998736	32.9034750884449	32.897902764226714	32.86738320931137	32.85861516714323	32.306477832000155	32.84327099141869	32.874836962526764	32.88765877169127	32.91217116783961	32.90297991117388	32.93129695672897	32.938824303602175	32.936798541337005	32.94532827052458	32.92262432129727	32.902956671071415	32.87785063300739	32.862626938866704	32.72926422243306
H3K4_A_R2	33.010130142085245	33.125636202380555	33.042223858232404	33.091887821400746	33.1517936583269	33.217428775179506	33.20984750451607	33.23424315566977	33.25089035072796	33.00717402107926	33.25960000532168	33.256643884315686	33.25675573372447	33.25273339351224	33.24960584857026	33.2384781274949	33.25137989792976	33.24173070830228	33.23893164741346	33.237484904744925	33.23134872844294	33.226673187683424	33.20578348568204	33.22889769581976	33.21038202695382	33.27960527284015	33.26475850005469	33.26233949168329	33.255175713655156	33.23974073071572	33.245682877727525	33.217480579116206	33.24847204877388	33.230830218131075	33.242252750700736	33.23064749151799	33.015171136070926	33.1872374408714	33.22867941286831	33.212535422413424	33.21447689267743	33.2150865308234	33.193778158824514	33.0636841099548	32.89595214634895	32.83455741718758	33.13510690389887	32.95709868755904	32.833245835699344	32.87349890734901
