Sample	Unique Reads	Duplicate Reads
H3K27_A_R1_1	10406211.0	1988770.0
H3K27_A_R1_2	10455786.0	1939195.0
H3K27_A_R2_1	11922438.0	1969524.0
H3K27_A_R2_2	11968060.0	1923902.0
H3K27_A_R3_1	10343854.0	1720192.0
H3K27_A_R3_2	10387272.0	1676774.0
H3K27_A_R4_1	8792586.0	1718387.0
H3K27_A_R4_2	8850252.0	1660721.0
H3K27_N_R1_1	10983921.0	2317673.0
H3K27_N_R1_2	11021412.0	2280182.0
H3K27_N_R2_1	12438447.0	2223255.0
H3K27_N_R2_2	12499531.0	2162171.0
H3K27_N_R3_1	10523424.0	2284637.0
H3K27_N_R3_2	10583603.0	2224458.0
H3K27_N_R4_1	10388962.0	2003490.0
H3K27_N_R4_2	10449753.0	1942699.0
H3K4_A_R1_1	7778430.0	1779416.0
H3K4_A_R1_2	7832125.0	1725721.0
H3K4_A_R2_1	7086099.0	1244885.0
H3K4_A_R2_2	7113185.0	1217799.0
H3K4_A_R3_1	10353412.0	1955164.0
H3K4_A_R3_2	10416883.0	1891693.0
H3K4_A_R4_1	7346442.0	1571557.0
H3K4_A_R4_2	7392147.0	1525852.0
H3K4_N_R1_1	5680730.0	2177022.0
H3K4_N_R1_2	5740139.0	2117613.0
H3K4_N_R2_1	7035332.0	1765277.0
H3K4_N_R2_2	7075665.0	1724944.0
H3K4_N_R3_1	8116300.0	2727293.0
H3K4_N_R3_2	8197311.0	2646282.0
H3K4_N_R4_1	5296961.0	1253750.0
H3K4_N_R4_2	5337426.0	1213285.0
IgG_A_R1_1	35277229.0	10658209.0
IgG_A_R1_2	35280503.0	10654935.0
IgG_N_R1_1	30769832.0	14818881.0
IgG_N_R1_2	31110308.0	14478405.0
nH3K27_A_R1_1	11232756.0	3288247.0
nH3K27_A_R1_2	11341861.0	3179142.0
nH3K27_A_R2_1	11319767.0	3040214.0
nH3K27_A_R2_2	11412376.0	2947605.0
nH3K27_A_R3_1	10125580.0	2797812.0
nH3K27_A_R3_2	10184420.0	2738972.0
nH3K27_N_R1_1	6378605.0	5501880.0
nH3K27_N_R1_2	6514675.0	5365810.0
nH3K27_N_R2_1	7289871.0	5700193.0
nH3K27_N_R2_2	7435600.0	5554464.0
nH3K27_N_R3_1	8477658.0	6652804.0
nH3K27_N_R3_2	8607483.0	6522979.0
nH3K4_A_R1_1	12027430.0	3039179.0
nH3K4_A_R1_2	12108666.0	2957943.0
nH3K4_A_R2_1	10828718.0	2454048.0
nH3K4_A_R2_2	10894363.0	2388403.0
nH3K4_A_R3_1	8853990.0	1930427.0
nH3K4_A_R3_2	8915258.0	1869159.0
nH3K4_N_R1_1	7978976.0	6521037.0
nH3K4_N_R1_2	8129203.0	6370810.0
nH3K4_N_R2_1	8806498.0	6575801.0
nH3K4_N_R2_2	8957776.0	6424523.0
nH3K4_N_R3_1	8729299.0	6071464.0
nH3K4_N_R3_2	8858047.0	5942716.0
nIgG_A_R1_1	22696057.0	7685367.0
nIgG_A_R1_2	22896331.0	7485093.0
nIgG_N_R1_1	12887710.0	12851040.0
nIgG_N_R1_2	13113483.0	12625267.0
