Sample	Unique Reads	Duplicate Reads
H3K27_A_R1	10421223.0	2065679.0
H3K27_A_R2	11885626.0	2164189.0
H3K27_A_R3	10351349.0	1931054.0
H3K27_A_R4	8750117.0	1982044.0
H3K27_N_R1	10931625.0	2612034.0
H3K27_N_R2	12456902.0	2377766.0
H3K27_N_R3	10537320.0	2651209.0
H3K27_N_R4	10413085.0	2194422.0
H3K4_A_R1	7808374.0	2002254.0
H3K4_A_R2	7062124.0	1431439.0
H3K4_A_R3	10385710.0	2100197.0
H3K4_A_R4	7318122.0	1728227.0
H3K4_N_R1	5730638.0	2655954.0
H3K4_N_R2	7005989.0	1959964.0
H3K4_N_R3	8167978.0	2953021.0
H3K4_N_R4	5276231.0	1398779.0
IgG_A_R1	35170090.0	10956404.0
IgG_N_R1	30641921.0	15739177.0
nH3K27_A_R1	11297048.0	3327665.0
nH3K27_A_R2	11366050.0	3085416.0
nH3K27_A_R3	10149455.0	2866569.0
nH3K27_N_R1	6332661.0	5650786.0
nH3K27_N_R2	7388511.0	5706157.0
nH3K27_N_R3	8420382.0	6851375.0
nH3K4_A_R1	11977743.0	3208186.0
nH3K4_A_R2	10782445.0	2606371.0
nH3K4_A_R3	8881147.0	1959354.0
nH3K4_N_R1	8082946.0	6646872.0
nH3K4_N_R2	8746807.0	6775876.0
nH3K4_N_R3	8805378.0	6126598.0
nIgG_A_R1	22799110.0	7807958.0
nIgG_N_R1	12792049.0	13212998.0
