Sample	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
H3K27_A_R1_1	44.0	63.0	57.0	80.0	114.0	130.0	150.0	196.0	184.0	192.0	245.0	248.0	279.0	337.0	325.0	368.0	432.0	459.0	587.0	788.0	1063.0	1306.0	1375.0	2046.0	3521.0	17251.0	65450.0	317504.0	1030741.0	3157023.0	7792423.0
H3K27_A_R1_2	150.0	178.0	186.0	200.0	200.0	230.0	251.0	298.0	268.0	317.0	353.0	375.0	404.0	470.0	531.0	576.0	577.0	653.0	779.0	1016.0	1331.0	1468.0	1661.0	2309.0	3985.0	18082.0	67401.0	317229.0	1033658.0	3155542.0	7784303.0
H3K27_A_R2_1	97.0	94.0	124.0	128.0	188.0	199.0	224.0	255.0	296.0	287.0	309.0	391.0	437.0	463.0	556.0	607.0	631.0	787.0	833.0	1091.0	1524.0	1730.0	1944.0	3080.0	4501.0	19648.0	73355.0	357141.0	1173077.0	3475426.0	8772539.0
H3K27_A_R2_2	218.0	242.0	271.0	276.0	310.0	325.0	336.0	370.0	424.0	438.0	532.0	550.0	642.0	763.0	856.0	1042.0	945.0	1129.0	1201.0	1509.0	1927.0	1908.0	2154.0	3077.0	4757.0	20589.0	73841.0	354510.0	1175014.0	3457412.0	8784394.0
H3K27_A_R3_1	60.0	53.0	97.0	97.0	123.0	147.0	166.0	209.0	208.0	234.0	281.0	287.0	299.0	324.0	393.0	431.0	519.0	533.0	672.0	884.0	1230.0	1456.0	1594.0	2731.0	4078.0	17742.0	64449.0	312621.0	1015860.0	3062777.0	7573491.0
H3K27_A_R3_2	161.0	178.0	173.0	218.0	235.0	272.0	280.0	321.0	351.0	334.0	411.0	407.0	489.0	488.0	525.0	642.0	654.0	713.0	891.0	1047.0	1532.0	1585.0	1907.0	2522.0	3991.0	18330.0	66557.0	312089.0	1017181.0	3050243.0	7579319.0
H3K27_A_R4_1	52.0	70.0	89.0	96.0	151.0	130.0	160.0	191.0	198.0	213.0	245.0	240.0	292.0	313.0	365.0	389.0	407.0	544.0	608.0	785.0	1165.0	1426.0	1559.0	2489.0	3691.0	14939.0	56060.0	268671.0	870530.0	2683091.0	6601814.0
H3K27_A_R4_2	147.0	150.0	196.0	195.0	200.0	214.0	249.0	302.0	325.0	330.0	389.0	368.0	451.0	467.0	535.0	595.0	599.0	680.0	756.0	983.0	1218.0	1375.0	1540.0	2115.0	3472.0	15353.0	57379.0	266331.0	872730.0	2675627.0	6605702.0
H3K27_N_R1_1	77.0	90.0	108.0	143.0	166.0	201.0	227.0	291.0	305.0	299.0	428.0	486.0	488.0	601.0	752.0	853.0	887.0	997.0	1228.0	1437.0	1959.0	2322.0	2577.0	3748.0	5258.0	19142.0	69156.0	335694.0	1111935.0	3303255.0	8436484.0
