Sample	Unique Pairs	Duplicate Pairs Optical	Duplicate Pairs Nonoptical
H3K27_A_R1	17716548.0	127862.0	2871344.0
H3K27_A_R2	20709140.0	170148.0	2804752.0
H3K27_A_R3	17914754.0	130040.0	2673070.0
H3K27_A_R4	14897626.0	111156.0	2408292.0
H3K27_N_R1	19045198.0	142912.0	2545608.0
H3K27_N_R2	21857798.0	169642.0	3180596.0
H3K27_N_R3	18219806.0	139012.0	2385844.0
H3K27_N_R4	17894932.0	131372.0	2416836.0
H3K4_A_R1	12916394.0	79304.0	1578716.0
H3K4_A_R2	11842650.0	78896.0	1407754.0
H3K4_A_R3	17322906.0	102346.0	2127800.0
H3K4_A_R4	12095294.0	74934.0	1499838.0
H3K4_N_R1	9200350.0	53400.0	912238.0
H3K4_N_R2	11737352.0	76524.0	1407096.0
H3K4_N_R3	13544702.0	87752.0	1621990.0
H3K4_N_R4	8682070.0	54392.0	972228.0
IgG_A_R1	15545708.0	114652.0	2388482.0
IgG_N_R1	53577272.0	403430.0	8144648.0
nH3K27_A_R1	18589664.0	128096.0	2494032.0
nH3K27_A_R2	18714230.0	124824.0	2624322.0
nH3K27_A_R3	16653368.0	129030.0	2406440.0
nH3K27_N_R1	9987268.0	71940.0	1508798.0
nH3K27_N_R2	11260510.0	83434.0	2044416.0
nH3K27_N_R3	13027014.0	111140.0	2572316.0
nH3K4_A_R1	19903040.0	144446.0	2987654.0
nH3K4_A_R2	17814284.0	135348.0	2888914.0
nH3K4_A_R3	14538912.0	108828.0	2282448.0
nH3K4_N_R1	12287112.0	94156.0	2198448.0
nH3K4_N_R2	13842330.0	109440.0	2358738.0
nH3K4_N_R3	13558564.0	106170.0	2340144.0
nIgG_A_R1	38822042.0	267654.0	5852446.0
nIgG_N_R1	20180262.0	151030.0	3544320.0
