Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	overall_alignment_rate	paired_aligned_mate_none_halved
H3K27_A_R1	12394981	12394981	659015	9564015	2171951	94.68	659015
H3K27_A_R2	13891962	13891962	463664	10901626	2526672	96.66	463664
H3K27_A_R3	12064046	12064046	415080	9571923	2077043	96.56	415080
H3K27_A_R4	10510973	10510973	638409	8039800	1832764	93.93	638409
H3K27_N_R1	13301594	13301594	1103817	10108390	2089387	91.7	1103817
H3K27_N_R2	14661702	14661702	672862	11751706	2237134	95.41	672862
H3K27_N_R3	12808061	12808061	1140433	9637259	2030369	91.1	1140433
H3K27_N_R4	12392452	12392452	782928	9483751	2125773	93.68	782928
H3K4_A_R1	9557846	9557846	989040	6678615	1890191	89.65	989040
H3K4_A_R2	8330984	8330984	507445	6120524	1703015	93.91	507445
H3K4_A_R3	12308576	12308576	802666	8980913	2524997	93.48	802666
H3K4_A_R4	8917999	8917999	797028	6251798	1869173	91.06	797028
H3K4_N_R1	7857752	7857752	1790160	4696743	1370849	77.22	1790160
H3K4_N_R2	8800609	8800609	1037520	6123381	1639708	88.21	1037520
H3K4_N_R3	10843593	10843593	1867991	7063115	1912487	82.77	1867991
H3K4_N_R4	6550711	6550711	759816	4466640	1324255	88.4	759816
IgG_A_R1	45935438	45935438	34991330	8341214	2602894	23.82	34991330
IgG_N_R1	45588713	45588713	7474105	28382994	9731614	83.61	7474105
nH3K27_A_R1	14521003	14521003	1467010	9551671	3502322	89.9	1467010
nH3K27_A_R2	14359981	14359981	1173236	9665953	3520792	91.83	1173236
nH3K27_A_R3	12923392	12923392	1120737	8634713	3167942	91.33	1120737
nH3K27_N_R1	11880485	11880485	4620285	5221465	2038735	61.11	4620285
nH3K27_N_R2	12990064	12990064	4479035	6040086	2470943	65.52	4479035
nH3K27_N_R3	15130462	15130462	5209976	7086696	2833790	65.57	5209976
nH3K4_A_R1	15066609	15066609	859669	10359230	3847710	94.29	859669
nH3K4_A_R2	13282766	13282766	473105	9370298	3439363	96.44	473105
nH3K4_A_R3	10784417	10784417	325828	7612537	2846052	96.98	325828
nH3K4_N_R1	14500013	14500013	5358673	6583273	2558067	63.04	5358673
nH3K4_N_R2	15382299	15382299	5185964	7359259	2837076	66.29	5185964
nH3K4_N_R3	14800763	14800763	4773745	7219138	2807880	67.75	4773745
nIgG_A_R1	30381424	30381424	2688605	20194217	7498602	91.15	2688605
nIgG_N_R1	25738750	25738750	10520114	10756541	4462095	59.13	10520114
