Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
H3K27_A_R1	2.10	12486902	4372678	12486902	624345100	783020	617121073	1.157056730324303
H3K27_A_R2	2.10	14049815	4858149	14049815	702490750	1630312	693639479	1.2599839926717897
H3K27_A_R3	2.10	12282403	4255356	12282403	614120150	857581	606829914	1.187102556397148
H3K27_A_R4	2.10	10732161	3710707	10732161	536608050	910522	530013287	1.228972058842576
H3K27_N_R1	2.10	13543659	4611174	13543659	677182950	1319939	668831479	1.2332665788469719
H3K27_N_R2	2.10	14834668	5129844	14834668	741733400	1062556	733041521	1.1718333029091044
H3K27_N_R3	2.10	13188529	4427589	13188529	659426450	1149823	651338699	1.2264826501879018
H3K27_N_R4	2.10	12607507	4327630	12607507	630375350	859173	622961276	1.1761364082526387
H3K4_A_R1	2.10	9810628	3289458	9810628	490531400	788619	484380952	1.253833699534831
H3K4_A_R2	2.10	8493563	3058091	8493563	424678150	614777	412202703	2.9376239394468495
H3K4_A_R3	2.10	12485907	4466600	12485907	624295350	809638	609012442	2.4480252816235137
H3K4_A_R4	2.10	9046349	3238328	9046349	452317450	573735	441247058	2.447482846394717
H3K4_N_R1	2.10	8386592	3148011	8386592	419329600	1152110	388872687	7.263239466042941
H3K4_N_R2	2.10	8965953	2995123	8965953	448297650	734412	442681343	1.2528075933478573
H3K4_N_R3	2.10	11120999	3633618	11120999	556049950	956401	549192285	1.233282189846434
H3K4_N_R4	2.10	6675010	2383037	6675010	333750500	446503	324104578	2.890159565304022
IgG_A_R1	2.10	46126494	15779548	46126494	2306324700	3423187	2272109052	1.483557280551173
IgG_N_R1	2.10	46381098	15290927	46381098	2319054900	3575891	2291918755	1.1701381023795512
nH3K27_A_R1	2.10	14624713	5377374	14624713	731235650	681140	717701145	1.8509088007402266
nH3K27_A_R2	2.10	14451466	5360831	14451466	722573300	663646	709648410	1.7887306381234955
nH3K27_A_R3	2.10	13016024	4732783	13016024	650801200	1182323	642244694	1.3147649389706104
nH3K27_N_R1	2.10	11983447	4066594	11983447	599172350	529348	588047016	1.8567836115935592
nH3K27_N_R2	2.10	13094668	4536645	13094668	654733400	569136	642820691	1.8194747663705564
nH3K27_N_R3	2.10	15271757	5131064	15271757	763587850	1495179	754360096	1.2084731311531476
nH3K4_A_R1	2.10	15185929	5558064	15185929	759296450	1107969	749559846	1.2823191784974102
nH3K4_A_R2	2.10	13388816	5092919	13388816	669440800	644549	656282741	1.9655298870340738
nH3K4_A_R3	2.10	10840501	4118964	10840501	542025050	486185	532894830	1.6844645833250695
nH3K4_N_R1	2.10	14729818	5097223	14729818	736490900	713929	717671273	2.5553101878108744
nH3K4_N_R2	2.10	15522683	5173113	15522683	776134150	957695	767449813	1.1189221605569089
nH3K4_N_R3	2.10	14931976	5188539	14931976	746598800	655252	732391700	1.9029095680303798
nIgG_A_R1	2.10	30607068	11131464	30607068	1530353400	1902307	1511299106	1.2450911011796362
nIgG_N_R1	2.10	26005047	8274501	26005047	1300252350	1542540	1286165453	1.0833971574825456
