Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Bowtie2 (target)_mqc-generalstats-bowtie2_target-overall_alignment_rate	Picard duplication stats: Mark Duplicates_mqc-generalstats-picard_duplication_stats_mark_duplicates-PERCENT_DUPLICATION	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-error_rate	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-non_primary_alignments	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_mapped	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_mapped_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_properly_paired_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_MQ0_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-raw_total_sequences	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-flagstat_total	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-mapped_passed	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-mapped_passed_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
H3K27_A_R1	16.542769153989482	45.0	50.0	50	9.090909090909092	12486902.0	1.157056730324303	94.68	0.144779																
H3K27_A_R1_1																				16.044964867359	45.0	49.46139336558886	50	18.181818181818183	12394981.0
H3K27_A_R1_2																				15.645002519821418	45.0	49.455040148911884	50	18.181818181818183	12394981.0
H3K27_A_R2	15.403689678394898	46.0	50.0	50	9.090909090909092	14049815.0	1.2599839926717897	96.66	0.125608																
H3K27_A_R2_1																				14.17743649463192	46.0	49.45909677841042	50	18.181818181818183	13891962.0
H3K27_A_R2_2																				13.849033007299383	46.0	49.45387282228385	50	18.181818181818183	13891962.0
H3K27_A_R3	15.72211964192445	46.0	50.0	50	18.181818181818183	12282403.0	1.187102556397148	96.56	0.135299																
H3K27_A_R3_1																				14.258833046486956	45.0	49.456141662589815	50	18.181818181818183	12064046.0
H3K27_A_R3_2																				13.898943116017321	46.0	49.451313680335765	50	18.181818181818183	12064046.0
H3K27_A_R4	18.468272294070132	45.0	50.0	50	9.090909090909092	10732161.0	1.228972058842576	93.93	0.144654																
H3K27_A_R4_1																				16.34851070068855	45.0	49.45780956720182	50	18.181818181818183	10510973.0
H3K27_A_R4_2																				15.7998881387269	45.0	49.45377435561865	50	18.181818181818183	10510973.0
H3K27_N_R1	19.286034492327218	46.0	50.0	50	9.090909090909092	13543659.0	1.2332665788469719	91.7	0.123703																
H3K27_N_R1_1																				17.424031742534325	46.0	49.45951973876214	50	18.181818181818183	13301594.0
H3K27_N_R1_2																				17.142172683284002	46.0	49.45504448564586	50	18.181818181818183	13301594.0
H3K27_N_R2	16.02844632557678	46.0	50.0	50	27.27272727272727	14834668.0	1.1718333029091044	95.41	0.132904																
H3K27_N_R2_1																				15.163689926393047	46.0	49.45613080936988	50	18.181818181818183	14661702.0
H3K27_N_R2_2																				14.747068814460363	46.0	49.45147486969794	50	18.181818181818183	14661702.0
H3K27_N_R3	20.102387418565044	48.0	50.0	50	18.181818181818183	13188529.0	1.2264826501879018	91.1	0.121711																
H3K27_N_R3_1																				17.837497045536693	46.0	49.45906160190836	50	18.181818181818183	12808061.0
H3K27_N_R3_2																				17.367646345195666	47.0	49.45611283394106	50	18.181818181818183	12808061.0
H3K27_N_R4	17.405677647098457	46.0	50.0	50	18.181818181818183	12607507.0	1.1761364082526387	93.68	0.124649																
