Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
H3K27_A_R1	Unknown Library	0.0	10357877.0	0.0	0.0	0.0	1499603.0	63931.0	0.144779	33386810.0
H3K27_A_R2	Unknown Library	0.0	11842020.0	0.0	0.0	0.0	1487450.0	85074.0	0.125608	45280429.0
H3K27_A_R3	Unknown Library	0.0	10358932.0	0.0	0.0	0.0	1401555.0	65020.0	0.135299	36130354.0
H3K27_A_R4	Unknown Library	0.0	8708537.0	0.0	0.0	0.0	1259724.0	55578.0	0.144654	28133263.0
H3K27_N_R1	Unknown Library	0.0	10866859.0	0.0	0.0	0.0	1344260.0	71456.0	0.123703	42107088.0
H3K27_N_R2	Unknown Library	0.0	12604018.0	0.0	0.0	0.0	1675119.0	84821.0	0.132904	45009059.0
H3K27_N_R3	Unknown Library	0.0	10372331.0	0.0	0.0	0.0	1262428.0	69506.0	0.121711	40985853.0
H3K27_N_R4	Unknown Library	0.0	10221570.0	0.0	0.0	0.0	1274104.0	65686.0	0.124649	39219389.0
H3K4_A_R1	Unknown Library	0.0	7287207.0	0.0	0.0	0.0	829010.0	39652.0	0.113762	30809555.0
H3K4_A_R2	Unknown Library	0.0	6664650.0	0.0	0.0	0.0	743325.0	39448.0	0.111532	28929776.0
H3K4_A_R3	Unknown Library	0.0	9776526.0	0.0	0.0	0.0	1115073.0	51173.0	0.114056	41146224.0
H3K4_A_R4	Unknown Library	0.0	6835033.0	0.0	0.0	0.0	787386.0	37467.0	0.115199	28497764.0
H3K4_N_R1	Unknown Library	0.0	5082994.0	0.0	0.0	0.0	482819.0	26700.0	0.094987	26313631.0
H3K4_N_R2	Unknown Library	0.0	6610486.0	0.0	0.0	0.0	741810.0	38262.0	0.112217	28465125.0
H3K4_N_R3	Unknown Library	0.0	7627222.0	0.0	0.0	0.0	854871.0	43876.0	0.112082	32879073.0
H3K4_N_R4	Unknown Library	0.0	4854345.0	0.0	0.0	0.0	513310.0	27196.0	0.105742	22329366.0
IgG_A_R1	Unknown Library	0.0	9024421.0	0.0	0.0	0.0	1251567.0	57326.0	0.138687	30604673.0
IgG_N_R1	Unknown Library	0.0	31062675.0	0.0	0.0	0.0	4274039.0	201715.0	0.137594	106404843.0
nH3K27_A_R1	Unknown Library	0.0	10605896.0	0.0	0.0	0.0	1311064.0	64048.0	0.123617	40970617.0
nH3K27_A_R2	Unknown Library	0.0	10731688.0	0.0	0.0	0.0	1374573.0	62412.0	0.128085	39741791.0
nH3K27_A_R3	Unknown Library	0.0	9594419.0	0.0	0.0	0.0	1267735.0	64515.0	0.132133	34491610.0
nH3K27_N_R1	Unknown Library	0.0	5784003.0	0.0	0.0	0.0	790369.0	35970.0	0.136647	19937008.0
nH3K27_N_R2	Unknown Library	0.0	6694180.0	0.0	0.0	0.0	1063925.0	41717.0	0.158933	19367428.0
nH3K27_N_R3	Unknown Library	0.0	7855235.0	0.0	0.0	0.0	1341728.0	55570.0	0.170807	20971392.0
nH3K4_A_R1	Unknown Library	0.0	11517570.0	0.0	0.0	0.0	1566050.0	72223.0	0.135971	39941322.0
nH3K4_A_R2	Unknown Library	0.0	10419273.0	0.0	0.0	0.0	1512131.0	67674.0	0.145128	33554628.0
nH3K4_A_R3	Unknown Library	0.0	8465094.0	0.0	0.0	0.0	1195638.0	54414.0	0.141243	28120825.0
nH3K4_N_R1	Unknown Library	0.0	7289858.0	0.0	0.0	0.0	1146302.0	47078.0	0.157246	21380481.0
nH3K4_N_R2	Unknown Library	0.0	8155254.0	0.0	0.0	0.0	1234089.0	54720.0	0.151324	25048049.0
nH3K4_N_R3	Unknown Library	0.0	8002439.0	0.0	0.0	0.0	1223157.0	53085.0	0.152848	24283110.0
nIgG_A_R1	Unknown Library	0.0	22471071.0	0.0	0.0	0.0	3060050.0	133827.0	0.136177	77634600.0
nIgG_N_R1	Unknown Library	0.0	11937806.0	0.0	0.0	0.0	1847675.0	75515.0	0.154775	35639980.0
