Sample	Peak Count
H3K27_A_R1	7573.0
H3K27_A_R2	10870.0
H3K27_A_R3	12794.0
H3K27_A_R4	5327.0
H3K27_N_R1	28881.0
H3K27_N_R2	48589.0
H3K27_N_R3	28955.0
H3K27_N_R4	21728.0
H3K4_A_R1	11374.0
H3K4_A_R2	8401.0
H3K4_A_R3	10432.0
H3K4_A_R4	2864.0
H3K4_N_R1	7263.0
H3K4_N_R2	17922.0
H3K4_N_R3	18696.0
H3K4_N_R4	6665.0
nH3K27_A_R1	606.0
nH3K27_A_R2	1312.0
nH3K27_A_R3	304.0
nH3K27_N_R1	192.0
nH3K27_N_R2	469.0
nH3K27_N_R3	763.0
nH3K4_A_R1	447.0
nH3K4_A_R2	305.0
nH3K4_A_R3	367.0
nH3K4_N_R1	517.0
nH3K4_N_R2	483.0
nH3K4_N_R3	412.0
