TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	983998.5	983973.0	984017.0
2000000.0	1936953.0	1936856.9	1937021.6
3000000.0	2860267.5	2860063.0	2860417.7
4000000.0	3755261.0	3754910.5	3755514.5
5000000.0	4623169.5	4622639.9	4623545.7
6000000.0	5465160.5	5464428.5	5465681.2
7000000.0	6282329.5	6281384.5	6283020.9
8000000.0	7075746.0	7074547.0	7076610.8
9000000.0	7846395.5	7844916.7	7847472.6
10000000.0	8595168.0	8593438.5	8596530.6
11000000.0	9323001.0	9321006.3	9324625.4
12000000.0	10030793.2	10028439.8	10032620.3
13000000.0	10719237.6	10716550.0	10721369.0
14000000.0	11389118.6	11386125.5	11391620.0
15000000.0	12041174.0	12037903.0	12044108.5
16000000.0	12676092.7	12672553.0	12679486.4
17000000.0	13294554.4	13290731.9	13298404.7
18000000.0	13897108.8	13893064.5	13901483.2
19000000.0	14484311.1	14480146.0	14489302.2
20000000.0	15056811.3	15052475.1	15062337.9
21000000.0	15615175.9	15610521.8	15621201.1
22000000.0	16159992.0	16154657.2	16166402.3
23000000.0	16691556.2	16685555.1	16698480.3
24000000.0	17210194.5	17203685.4	17217976.2
25000000.0	17716664.1	17709489.6	17725173.8
26000000.0	18211205.1	18203389.5	18220411.4
27000000.0	18694320.4	18685777.3	18704683.3
28000000.0	19166353.7	19156966.6	19177860.4
29000000.0	19627546.5	19617472.4	19640367.0
30000000.0	20078702.6	20067079.9	20092247.4
31000000.0	20519919.8	20507141.5	20534420.1
32000000.0	20951570.1	20937432.2	20966969.4
33000000.0	21373903.5	21358359.7	21390395.3
34000000.0	21786960.4	21770124.3	21805199.3
35000000.0	22191315.8	22172836.8	22211098.3
36000000.0	22586649.3	22567431.4	22608369.5
37000000.0	22973810.5	22953180.1	22997462.7
38000000.0	23353422.8	23330689.9	23378629.8
39000000.0	23725206.0	23700337.2	23752112.5
40000000.0	24089110.2	24062357.9	24118147.4
41000000.0	24446104.3	24416978.8	24476969.4
42000000.0	24795666.5	24764412.4	24828778.7
43000000.0	25138072.0	25104853.8	25173781.0
44000000.0	25473575.4	25438646.3	25512174.2
45000000.0	25803432.2	25765760.1	25844148.6
46000000.0	26126819.5	26085564.5	26169887.1
47000000.0	26444228.7	26399999.1	26490212.9
48000000.0	26755117.8	26708549.0	26804864.0
49000000.0	27059980.7	27011223.7	27113858.9
50000000.0	27359169.6	27308183.0	27417376.8
51000000.0	27652837.6	27599581.3	27715590.2
52000000.0	27941166.8	27885193.0	28008607.5
53000000.0	28224837.2	28165489.1	28296569.7
54000000.0	28503450.1	28440649.3	28579612.4
55000000.0	28777138.3	28710795.5	28857866.3
56000000.0	29046068.8	28976054.3	29131741.4
57000000.0	29310580.4	29236571.9	29401276.1
58000000.0	29570074.6	29492471.0	29666414.8
59000000.0	29825085.8	29743632.5	29927270.7
60000000.0	30075647.9	29990185.4	30183952.7
61000000.0	30321624.0	30232438.3	30436566.0
62000000.0	30563526.9	30470498.7	30685212.2
63000000.0	30801523.0	30704470.5	30929989.4
64000000.0	31035941.1	30934440.4	31170992.3
65000000.0	31266529.4	31160496.7	31408312.3
66000000.0	31493699.5	31382753.1	31642038.0
67000000.0	31717371.0	31601301.0	31872254.7
68000000.0	31937500.5	31816228.8	32099045.2
69000000.0	32154171.3	32027622.3	32322489.3
70000000.0	32367464.1	32235992.2	32542664.5
71000000.0	32577457.0	32441088.1	32759645.5
72000000.0	32784077.5	32642919.8	32973504.8
73000000.0	32986905.4	32841562.8	33184312.7
74000000.0	33186630.2	33037090.2	33392137.0
75000000.0	33383322.0	33229572.8	33597043.6
76000000.0	33577049.0	33419079.6	33799096.4
77000000.0	33767877.6	33605677.2	33997658.2
78000000.0	33954288.1	33789430.4	34193174.3
79000000.0	34137768.0	33970402.2	34385976.5
80000000.0	34318508.1	34148653.7	34576121.9
81000000.0	34496862.2	34324244.1	34763666.2
82000000.0	34673636.6	34497231.2	34948663.3
83000000.0	34847860.9	34667670.9	35131165.5
84000000.0	35019589.3	34835617.7	35311223.9
85000000.0	35188874.7	35001124.4	35488887.9
86000000.0	35355768.2	35164047.3	35664205.7
87000000.0	35520319.8	35324201.4	35837224.2
88000000.0	35682577.9	35482039.5	36007989.0
89000000.0	35842589.6	35637609.6	36176544.4
90000000.0	36000401.0	35790958.0	36342933.6
91000000.0	36156056.6	35942130.0	36507198.5
92000000.0	36309996.2	36091169.6	36669380.1
93000000.0	36462006.0	36238119.9	36829518.3
94000000.0	36611990.7	36383022.4	36987651.8
95000000.0	36759990.3	36525911.5	37144771.9
96000000.0	36906043.4	36666776.6	37301038.9
97000000.0	37050187.7	36805711.2	37455512.7
98000000.0	37192460.1	36942753.0	37608447.3
99000000.0	37332896.4	37077763.5	37759622.2
100000000.0	37471531.6	37210439.6	37909069.2
101000000.0	37608399.6	37341318.7	38056819.2
102000000.0	37743533.9	37470435.2	38202902.6
103000000.0	37877006.6	37597822.7	38347348.5
104000000.0	38008729.7	37723513.8	38490952.3
