TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	981251.5	981210.9	981296.7
2000000.0	1926383.0	1926219.9	1926535.8
3000000.0	2837348.0	2836987.5	2837650.7
4000000.0	3715928.5	3715317.9	3716455.6
5000000.0	4563804.0	4562878.9	4564618.8
6000000.0	5382531.0	5381231.0	5383697.5
7000000.0	6173547.1	6171853.9	6175141.1
8000000.0	6938198.0	6936132.9	6940304.1
9000000.0	7677828.5	7675327.0	7680426.3
10000000.0	8393630.1	8390604.8	8396609.6
11000000.0	9086718.1	9083044.0	9090024.1
12000000.0	9758176.4	9753750.8	9761827.6
13000000.0	10408767.4	10403687.6	10413004.8
14000000.0	11039611.8	11033725.7	11044524.4
15000000.0	11651597.0	11644940.8	11657093.2
16000000.0	12245642.7	12238116.5	12251730.9
17000000.0	12822052.3	12813923.4	12829372.8
18000000.0	13381994.9	13372730.2	13390664.2
19000000.0	13925912.7	13915688.5	13936060.9
20000000.0	14454802.4	14443735.6	14466396.1
21000000.0	14969118.7	14957279.7	14982372.8
22000000.0	15469377.1	15456844.7	15484297.2
23000000.0	15955872.1	15941485.3	15972893.5
24000000.0	16429375.8	16412258.6	16448801.6
25000000.0	16890528.4	16871204.6	16912473.6
26000000.0	17340120.1	17317913.7	17365024.3
27000000.0	17778509.8	17752934.5	17806443.9
28000000.0	18205746.0	18176858.2	18237212.6
29000000.0	18622338.2	18590136.5	18657704.6
30000000.0	19028354.6	18992548.0	19068312.6
31000000.0	19424451.4	19384620.2	19469884.9
32000000.0	19812030.7	19767119.2	19862348.0
33000000.0	20190318.1	20140392.1	20246046.2
34000000.0	20559360.0	20504765.7	20621424.0
35000000.0	20919913.2	20860548.7	20988747.6
36000000.0	21272431.0	21208034.1	21348272.9
37000000.0	21616695.3	21547478.8	21700285.1
38000000.0	21953464.6	21879063.5	22045055.8
39000000.0	22282376.9	22203136.4	22382843.8
40000000.0	22603969.7	22521835.1	22713896.0
41000000.0	22918633.4	22834144.9	23038447.8
42000000.0	23226041.8	23139670.9	23355727.6
43000000.0	23526881.0	23438626.3	23665894.5
44000000.0	23821357.3	23731192.1	23969796.6
45000000.0	24109910.8	24017555.2	24267602.9
46000000.0	24392789.6	24297943.0	24559477.2
47000000.0	24670092.9	24572537.2	24845578.3
48000000.0	24941807.2	24841512.1	25126060.6
49000000.0	25208418.8	25105035.7	25401074.3
50000000.0	25469903.6	25363269.4	25670765.5
51000000.0	25726300.4	25616368.4	25935276.3
52000000.0	25977756.4	25864482.1	26194745.1
53000000.0	26224413.6	26107754.4	26449306.6
54000000.0	26466408.5	26346323.6	26699091.6
55000000.0	26703872.3	26580323.2	26944227.4
56000000.0	26936931.4	26809881.5	27184837.5
57000000.0	27165591.2	27035122.3	27421041.9
58000000.0	27389572.8	27255917.0	27652957.2
59000000.0	27609649.9	27472307.0	27880696.3
60000000.0	27825763.0	27683697.2	28104368.8
61000000.0	28038018.1	27891135.1	28324080.7
