TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	961227.0	954661.9	967265.2
2000000.0	1894363.0	1881582.6	1906115.8
3000000.0	2801318.5	2782715.4	2818515.6
4000000.0	3683350.0	3659267.8	3705715.4
5000000.0	4541516.0	4512279.6	4568784.6
6000000.0	5376833.0	5342693.5	5408701.9
7000000.0	6190186.5	6151380.0	6226371.1
8000000.0	6982403.0	6939169.4	7022649.2
9000000.0	7754275.0	7706835.6	7798338.3
10000000.0	8506553.0	8455116.4	8554205.8
11000000.0	9239997.6	9184713.9	9290975.1
12000000.0	9955362.5	9896295.1	10009337.1
13000000.0	10653025.7	10590497.3	10709950.4
14000000.0	11333663.2	11267929.7	11393443.8
15000000.0	11997951.7	11929175.0	12060418.7
16000000.0	12646458.4	12574791.5	12711450.5
17000000.0	13279726.1	13205314.2	13347090.4
18000000.0	13898274.9	13821256.4	13967867.1
19000000.0	14502602.6	14423110.7	14574287.5
20000000.0	15093186.3	15011350.2	15166838.4
21000000.0	15670483.1	15586429.6	15745987.2
22000000.0	16234930.9	16148785.6	16312183.0
23000000.0	16787132.8	16698838.0	16865857.8
24000000.0	17327395.8	17236990.5	17407426.9
25000000.0	17855670.6	17763631.1	17937290.2
26000000.0	18372569.9	18279132.8	18455833.0
27000000.0	18878621.4	18783853.9	18963426.5
28000000.0	19374183.0	19278139.3	19460428.5
29000000.0	19859599.7	19762320.0	19947184.3
30000000.0	20334389.3	20236714.1	20424027.1
31000000.0	20799432.9	20702012.5	20891278.6
32000000.0	21255477.4	21158274.8	21349249.4
33000000.0	21702501.5	21605748.9	21798239.6
34000000.0	22140780.9	22044712.4	22237953.3
35000000.0	22570580.8	22475430.1	22668389.7
36000000.0	22993762.4	22898154.6	23090449.7
37000000.0	23409573.3	23310834.9	23504374.5
38000000.0	23814579.9	23715792.2	23914099.9
39000000.0	24212427.0	24113249.3	24317343.2
40000000.0	24603873.3	24503414.1	24713661.5
41000000.0	24986322.5	24886485.7	25104008.8
42000000.0	25364887.2	25262489.6	25488253.6
43000000.0	25735932.3	25631641.2	25863431.6
44000000.0	26099163.0	25991822.7	26232249.6
45000000.0	26456368.5	26345408.2	26594876.3
46000000.0	26806826.9	26692642.4	26951472.6
47000000.0	27149392.0	27033690.9	27302192.3
48000000.0	27490234.5	27368713.9	27647182.9
49000000.0	27823617.7	27697865.9	27986585.6
50000000.0	28150579.1	28021956.3	28327362.4
51000000.0	28471179.6	28341687.7	28672502.3
52000000.0	28786370.0	28656058.1	29012784.2
53000000.0	29097021.8	28965201.3	29340869.2
54000000.0	29405258.8	29269246.8	29664429.2
55000000.0	29706815.7	29568319.9	29983547.4
56000000.0	30005078.5	29862541.9	30298303.2
57000000.0	30295522.4	30152030.1	30608772.6
58000000.0	30581131.9	30437182.7	30915156.0
59000000.0	30864162.4	30719360.5	31217356.5
60000000.0	31147760.0	30997139.1	31515441.2
61000000.0	31420680.3	31268959.3	31809475.8
62000000.0	31688044.4	31534074.6	32099524.9
63000000.0	31952852.7	31795029.3	32385651.8
64000000.0	32213050.1	32051412.1	32667919.0
65000000.0	32469046.6	32303302.4	32946553.0
66000000.0	32721193.6	32551986.6	33222052.6
67000000.0	32969676.7	32796129.2	33498698.5
68000000.0	33217003.7	33036370.2	33772630.6
69000000.0	33461263.2	33272894.2	34043609.8
70000000.0	33701233.9	33505887.0	34311661.6
71000000.0	33937749.2	33735610.3	34576821.2
72000000.0	34170905.9	33961918.0	34839121.1
73000000.0	34400775.1	34184555.5	35098591.1
74000000.0	34626774.8	34403740.9	35355258.9
75000000.0	34848471.4	34619713.2	35609150.3
76000000.0	35067069.9	34832540.3	35860289.4
77000000.0	35282634.6	35042288.3	36108699.1
78000000.0	35495228.2	35249021.5	36354401.2
79000000.0	35705000.5	35452802.2	36597416.4
80000000.0	35912279.6	35653691.5	36837765.1
81000000.0	36116771.6	35851748.4	37075466.9
82000000.0	36318532.5	36047030.6	37315470.6
83000000.0	36517616.7	36239594.3	37558152.7
84000000.0	36714077.0	36429494.0	37798820.8
85000000.0	36907965.1	36616783.1	38037495.2
86000000.0	37099407.4	36801468.9	38272237.8
87000000.0	37289012.0	36983642.6	38500269.3
88000000.0	37476192.8	37163356.0	38726087.8
89000000.0	37660996.2	37340657.2	38950377.3
90000000.0	37843467.2	37515592.9	39173466.8
91000000.0	38022930.6	37688208.7	39391616.4
92000000.0	38199482.4	37858549.0	39600321.0
93000000.0	38374450.5	38026657.1	39806487.9
94000000.0	38548509.9	38192575.4	40010148.9
95000000.0	38720180.3	38356345.0	40211336.5
96000000.0	38888807.7	38518006.2	40410083.0
97000000.0	39055388.0	38677598.2	40606420.8
98000000.0	39219958.2	38835159.3	40800382.6
99000000.0	39382554.4	38990726.9	40992000.9
100000000.0	39543212.1	39144337.5	41181308.3
101000000.0	39701965.6	39296026.6	41368337.2
102000000.0	39858852.3	39445829.1	41553120.2
103000000.0	40014859.7	39593778.9	41735689.4
104000000.0	40169060.9	39739909.1	41916077.1
105000000.0	40321487.1	39884252.2	42094315.4
106000000.0	40472168.8	40026839.8	42270435.9
107000000.0	40621135.7	40167702.7	42444470.2
108000000.0	40768417.1	40306871.3	42616449.8
109000000.0	40914041.3	40444375.0	42786405.6
110000000.0	41058036.1	40580242.6	42954368.6
111000000.0	41200428.8	40714502.4	43120369.0
112000000.0	41341246.1	40847181.9	43284437.3
113000000.0	41480513.8	40978308.1	43450924.3
114000000.0	41618257.4	41107907.4	43616180.2
115000000.0	41754501.9	41236005.4	43779579.9
116000000.0	41889271.5	41362627.5	43941148.4
117000000.0	42022590.2	41487798.2	44100911.0
118000000.0	42154481.1	41611541.8	44258892.5
119000000.0	42284786.3	41733881.7	44415117.9
120000000.0	42413399.6	41854841.1	44569611.9
121000000.0	42540653.8	41974442.5	44722398.9
122000000.0	42666570.0	42092708.2	44873503.3
123000000.0	42791169.5	42209659.6	45022949.4
124000000.0	42915273.9	42325318.2	45170760.9
