TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	994818.0	994799.5	994833.0
2000000.0	1979386.5	1979343.8	1979430.1
3000000.0	2953947.0	2953867.2	2954028.4
4000000.0	3918670.0	3918556.1	3918798.8
5000000.0	4873726.0	4873569.2	4873905.5
6000000.0	5819265.0	5819057.2	5819501.2
7000000.0	6755435.5	6755172.3	6755729.5
8000000.0	7682379.5	7682051.2	7682742.5
9000000.0	8600245.5	8599850.4	8600681.6
10000000.0	9509162.0	9508692.0	9509674.2
11000000.0	10409263.5	10408705.0	10409856.4
12000000.0	11300678.5	11300028.3	11301358.4
13000000.0	12183541.0	12182789.2	12184306.4
14000000.0	13057951.0	13057107.9	13058822.3
15000000.0	13924053.5	13923112.6	13925031.3
16000000.0	14781963.5	14780916.3	14783050.2
17000000.0	15631807.5	15630655.6	15632998.0
18000000.0	16473683.5	16472430.5	16474987.2
19000000.0	17307718.0	17306353.4	17309130.9
20000000.0	18134027.0	18132535.4	18135537.0
21000000.0	18952698.0	18951083.0	18954317.0
22000000.0	19763832.0	19762103.4	19765582.6
23000000.0	20567542.5	20565700.2	20569452.8
24000000.0	21363926.0	21361975.4	21366011.4
25000000.0	22153118.5	22151029.2	22155356.6
26000000.0	22935191.5	22932959.3	22937586.8
27000000.0	23710244.0	23707865.4	23712798.5
28000000.0	24478368.0	24475827.6	24481085.9
29000000.0	25239649.0	25236936.3	25242542.3
30000000.0	25994164.5	25991296.5	25997256.8
31000000.0	26742023.0	26738994.9	26745322.4
32000000.0	27483310.6	27480121.0	27486823.8
33000000.0	28218116.0	28214761.8	28221849.7
34000000.0	28946522.8	28943001.4	28950474.5
35000000.0	29668645.0	29664922.9	29672758.6
36000000.0	30384516.7	30380608.3	30388813.1
37000000.0	31094195.4	31090138.0	31098718.3
38000000.0	31797826.6	31793591.1	31802553.3
39000000.0	32495427.8	32491045.0	32500395.7
40000000.0	33187099.5	33182574.8	33192321.9
41000000.0	33872923.9	33868256.9	33878406.9
42000000.0	34553027.2	34548165.2	34558724.5
43000000.0	35227433.6	35222372.1	35233347.2
44000000.0	35896206.5	35890949.0	35902346.4
45000000.0	36559388.9	36553966.0	36565792.1
46000000.0	37217079.1	37211492.2	37223753.4
47000000.0	37869347.5	37863595.3	37876298.2
48000000.0	38516260.4	38510342.1	38523493.1
49000000.0	39157883.2	39151798.3	39165405.9
50000000.0	39794280.5	39788023.9	39802101.8
51000000.0	40425515.8	40419075.8	40433642.1
52000000.0	41051651.6	41045027.4	41060109.8
53000000.0	41672763.2	41665940.3	41681584.9
54000000.0	42288947.9	42281875.0	42298093.1
55000000.0	42900218.1	42892891.3	42909693.9
56000000.0	43506630.4	43499047.7	43516446.1
57000000.0	44108180.9	44100402.2	44118407.4
58000000.0	44704998.7	44697011.6	44715634.7
59000000.0	45297207.0	45288931.9	45308183.9
60000000.0	45884833.1	45876218.3	45896110.0
61000000.0	46467887.9	46458962.8	46479467.2
62000000.0	47046424.8	47037193.3	47058308.7
63000000.0	47620496.4	47610951.3	47632687.0
64000000.0	48190154.3	48180288.7	48202653.5
65000000.0	48755449.4	48745256.2	48768258.9
66000000.0	49316413.1	49305904.1	49329725.9
67000000.0	49873093.9	49862281.8	49886949.0
68000000.0	50425581.7	50414390.3	50439563.4
69000000.0	50973838.7	50962316.6	50988054.8
70000000.0	51517969.0	51506113.1	51532586.3
71000000.0	52057986.0	52045707.4	52073043.7
72000000.0	52593924.0	52581212.0	52609472.0
73000000.0	53125861.3	53112715.5	53141915.6
74000000.0	53653909.8	53640272.4	53670418.1
75000000.0	54178018.2	54164077.5	54195022.6
76000000.0	54698292.5	54684021.6	54715771.5
77000000.0	55214753.2	55200144.7	55232706.4
78000000.0	55727597.4	55712484.3	55745868.5
79000000.0	56236714.3	56221090.6	56255298.5
80000000.0	56742133.2	56726076.1	56761036.5
81000000.0	57243816.6	57227410.9	57263122.1
82000000.0	57741887.4	57725134.3	57761594.2
83000000.0	58236362.0	58219285.5	58256495.9
84000000.0	58727174.1	58709902.9	58747880.1
85000000.0	59214602.1	59197024.3	59235832.1
86000000.0	59698590.9	59680687.2	59720330.9
87000000.0	60179152.8	60160928.3	60201445.6
88000000.0	60656373.2	60637783.9	60679192.3
89000000.0	61130262.2	61111289.9	61153595.3
90000000.0	61600839.6	61581481.5	61624714.4
91000000.0	62068112.4	62048393.4	62092626.0
92000000.0	62531997.3	62512060.1	62557299.1
93000000.0	62992433.6	62972261.5	63018766.2
94000000.0	63449940.3	63429171.6	63477060.0
95000000.0	63904310.2	63882904.6	63932212.5
96000000.0	64355680.6	64333504.5	64384199.1
97000000.0	64803989.6	64780986.5	64832980.6
98000000.0	65249248.4	65225282.8	65278715.2
99000000.0	65691488.0	65666554.6	65721433.7
100000000.0	66130739.1	66105129.1	66161171.1
101000000.0	66566936.9	66540737.7	66597961.4
102000000.0	66999925.4	66973410.6	67031880.8
103000000.0	67430400.0	67403177.0	67462946.0
104000000.0	67858003.8	67830066.1	67891146.5
105000000.0	68282738.2	68254106.7	68316510.7
106000000.0	68704578.2	68675326.9	68739066.9
107000000.0	69123629.4	69093716.8	69158843.0
108000000.0	69539919.1	69509176.5	69575866.3
109000000.0	69953513.2	69921892.8	69990163.9
110000000.0	70364315.3	70331893.0	70401762.8
111000000.0	70772385.1	70739203.6	70810689.1
