TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	986837.0	986797.9	986878.6
2000000.0	1948177.0	1948074.6	1948312.4
3000000.0	2885036.5	2884850.3	2885301.8
4000000.0	3798308.0	3798014.4	3798700.8
5000000.0	4688801.5	4688372.2	4689348.8
6000000.0	5557323.5	5556735.3	5558023.2
7000000.0	6404633.0	6403881.9	6405534.8
8000000.0	7231450.0	7230534.8	7232568.1
9000000.0	8038474.5	8037347.8	8039815.1
10000000.0	8826344.5	8825006.0	8827934.2
11000000.0	9595726.1	9594140.5	9597554.5
12000000.0	10347215.6	10345365.3	10349283.8
13000000.0	11081359.5	11079240.5	11083700.1
14000000.0	11798743.8	11796315.6	11801359.2
15000000.0	12499923.1	12497149.9	12502799.1
16000000.0	13185368.5	13182257.7	13188535.5
17000000.0	13855616.3	13852135.8	13859145.1
18000000.0	14511226.0	14507262.3	14515066.4
19000000.0	15152538.9	15148096.1	15156652.4
20000000.0	15780028.8	15775079.4	15784343.5
21000000.0	16394050.8	16388638.1	16398666.7
22000000.0	16995180.0	16989182.8	17000211.1
23000000.0	17583617.8	17577109.5	17589244.7
24000000.0	18159864.1	18152800.9	18166069.1
25000000.0	18724247.6	18716626.8	18731108.0
26000000.0	19277108.9	19268945.3	19284711.0
27000000.0	19818559.7	19810103.6	19827149.9
28000000.0	20349279.0	20340439.0	20358743.8
29000000.0	20869364.5	20860219.8	20879776.8
30000000.0	21379311.1	21369453.8	21390340.6
31000000.0	21879320.7	21868706.4	21891369.8
32000000.0	22369429.2	22358234.2	22382613.8
33000000.0	22850243.7	22838239.7	22864496.1
34000000.0	23321618.2	23308745.0	23337264.8
35000000.0	23784173.2	23770273.7	23800797.8
36000000.0	24238346.1	24223066.5	24255369.8
37000000.0	24684428.9	24666630.7	24702291.2
38000000.0	25121884.7	25101297.5	25141236.1
39000000.0	25551454.3	25527697.1	25572299.3
40000000.0	25972854.5	25947651.1	25995670.9
41000000.0	26386935.0	26360219.7	26411440.1
42000000.0	26793520.9	26765362.2	26821725.9
43000000.0	27193230.5	27163269.2	27222962.1
44000000.0	27585726.8	27554124.8	27617240.5
45000000.0	27971203.5	27938039.8	28004743.6
46000000.0	28350118.7	28314456.3	28386137.2
47000000.0	28722686.2	28684241.5	28761764.5
48000000.0	29088338.9	29047448.7	29131271.8
49000000.0	29448455.2	29404036.4	29495361.9
50000000.0	29802569.8	29753527.1	29853672.7
51000000.0	30150410.4	30096988.2	30206062.1
52000000.0	30492398.1	30434572.9	30552443.0
53000000.0	30829117.3	30766428.9	30893703.8
54000000.0	31160153.7	31092698.6	31230222.0
55000000.0	31485964.4	31413519.4	31561683.4
56000000.0	31806600.9	31729023.5	31888219.9
57000000.0	32122136.3	32039338.7	32209959.2
58000000.0	32432688.0	32344588.2	32527088.9
59000000.0	32738369.8	32644890.8	32839745.7
60000000.0	33039292.1	32940361.7	33147983.2
61000000.0	33335562.4	33231111.9	33451915.8
62000000.0	33627284.7	33517249.1	33751654.7
63000000.0	33914560.3	33798877.3	34047308.0
