TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	978635.0	978582.9	978674.2
2000000.0	1916385.0	1916237.9	1916508.5
3000000.0	2815736.5	2815449.3	2815998.7
4000000.0	3678940.5	3678469.8	3679377.0
5000000.0	4508060.5	4507364.8	4508698.5
6000000.0	5304980.0	5304060.7	5305862.3
7000000.0	6071467.5	6070307.0	6072632.8
8000000.0	6809179.0	6807719.0	6810644.6
9000000.0	7519648.3	7517883.9	7521416.0
10000000.0	8204260.0	8202180.6	8206370.1
11000000.0	8864349.3	8861959.7	8866829.7
12000000.0	9501180.0	9498410.5	9504034.2
13000000.0	10115913.4	10112724.7	10119194.0
14000000.0	10709557.6	10705982.0	10713384.9
15000000.0	11283140.6	11279151.5	11287637.8
16000000.0	11837791.4	11833231.5	11842997.1
17000000.0	12374344.0	12369118.6	12380479.4
18000000.0	12893599.9	12887656.7	12900416.2
19000000.0	13396238.9	13389638.6	13404015.4
20000000.0	13883160.6	13875811.0	13891941.9
21000000.0	14355204.2	14346762.1	14364977.4
22000000.0	14812950.3	14804160.3	14824164.2
23000000.0	15256990.7	15247182.1	15270106.7
24000000.0	15687837.0	15676884.4	15703054.3
25000000.0	16105710.8	16093914.9	16123850.3
26000000.0	16511925.2	16498812.3	16532738.7
27000000.0	16907068.3	16892082.7	16930527.7
28000000.0	17290934.3	17274206.4	17318615.2
29000000.0	17663699.1	17645639.6	17696857.3
30000000.0	18027396.7	18006675.1	18065778.9
31000000.0	18379933.9	18357764.3	18426899.9
32000000.0	18723196.4	18699045.7	18779681.9
33000000.0	19058072.9	19031077.3	19124737.2
34000000.0	19384106.2	19354272.6	19462457.8
35000000.0	19702389.5	19668960.9	19793193.6
36000000.0	20011565.9	19975456.1	20117250.1
37000000.0	20312862.9	20274056.6	20434889.2
38000000.0	20606768.9	20565047.2	20746330.2
39000000.0	20892841.5	20848699.1	21051752.3
40000000.0	21172905.5	21125271.4	21351299.1
41000000.0	21447520.6	21395011.0	21645083.5
42000000.0	21714694.7	21658154.0	21933246.5
43000000.0	21975059.0	21914926.0	22215939.3
44000000.0	22229369.2	22165542.5	22493100.6
45000000.0	22477829.3	22410209.8	22764777.1
46000000.0	22720572.8	22649125.0	23031013.5
47000000.0	22957960.6	22882477.3	23291857.1
48000000.0	23190093.8	23110447.5	23547921.5
49000000.0	23416412.6	23333208.9	23807255.6
50000000.0	23637635.4	23550927.8	24063156.3
51000000.0	23855316.0	23763763.5	24316043.1
52000000.0	24069729.7	23971869.0	24565489.2
53000000.0	24279501.9	24175391.0	24811585.7
54000000.0	24482920.2	24374470.3	25054414.5
55000000.0	24682637.5	24569242.5	25294048.2
56000000.0	24878821.1	24759837.4	25530549.1
57000000.0	25071076.9	24946380.2	25763969.3
58000000.0	25259371.1	25128990.9	25994350.5
59000000.0	25443736.3	25307785.3	26221724.7
60000000.0	25624775.5	25482874.6	26446114.1
61000000.0	25802496.2	25654366.0	26667532.6
62000000.0	25976739.3	25822362.4	26885985.9
63000000.0	26146843.0	25986963.3	27101473.4
64000000.0	26313367.9	26148264.4	27313988.9
65000000.0	26476718.1	26306358.0	27528629.1
66000000.0	26636981.6	26461329.5	27744233.9
67000000.0	26794243.2	26613253.4	27957224.8
68000000.0	26948640.3	26762226.8	28167551.5
69000000.0	27101269.3	26908329.3	28375165.5
70000000.0	27250404.2	27051638.2	28580021.1
71000000.0	27396002.7	27192227.9	28782076.1
72000000.0	27538982.9	27330170.2	28981293.1
73000000.0	27679413.0	27465534.7	29177639.6
74000000.0	27817541.1	27598116.6	29371089.0
75000000.0	27953503.0	27728233.0	29561620.3
76000000.0	28087104.4	27855956.9	29749218.9
77000000.0	28218404.9	27981349.1	29933876.4
78000000.0	28347462.3	28104468.3	30115590.3
79000000.0	28474630.0	28225371.6	30294364.0
80000000.0	28599940.7	28344113.8	30470206.9
81000000.0	28723185.4	28460748.5	30645332.0
82000000.0	28844414.3	28575327.2	30802031.7
83000000.0	28963675.8	28687899.9	30949767.0
84000000.0	29081016.8	28798515.0	31095010.4
85000000.0	29196482.8	28907219.6	31237834.6
86000000.0	29310117.9	29014054.0	31378308.3
87000000.0	29421964.7	29119057.7	31516496.9
88000000.0	29532064.8	29222282.9	31652462.2
89000000.0	29640458.1	29323771.0	31786263.0
90000000.0	29747183.7	29423562.3	31917955.5
91000000.0	29852279.3	29521695.9	32047592.8
92000000.0	29955781.5	29618209.6	32175226.0
93000000.0	30057726.1	29713140.4	32300903.6
94000000.0	30158147.4	29806524.0	32424672.4
95000000.0	30257079.0	29898395.0	32546577.0
96000000.0	30354553.5	29988787.3	32666660.2
97000000.0	30450602.5	30077733.6	32784963.4
98000000.0	30545256.7	30165265.7	32901526.3
99000000.0	30638545.9	30251414.5	33016387.2
100000000.0	30730499.3	30336210.2	33129583.1
101000000.0	30821144.9	30419682.0	33241149.7
102000000.0	30910510.3	30501858.2	33351121.7
103000000.0	30998622.1	30582766.7	33459532.5
104000000.0	31085506.2	30662434.1	33566414.6
105000000.0	31171187.8	30740886.9	33671799.6
106000000.0	31255691.6	30818150.3	33775718.0
107000000.0	31339041.4	30894249.2	33878199.7
108000000.0	31421260.5	30969207.7	33979273.5
109000000.0	31502371.5	31043049.3	34078967.5
110000000.0	31582396.5	31115796.9	34177309.2
111000000.0	31661357.0	31187472.7	34274325.3
112000000.0	31739273.8	31258098.5	34370041.6
113000000.0	31816167.3	31327695.3	34464483.5
114000000.0	31892057.4	31396283.8	34557675.8
115000000.0	31966963.4	31463884.0	34649642.5
116000000.0	32040904.3	31530515.6	34740407.0
117000000.0	32113898.2	31596197.4	34829992.4
118000000.0	32185963.3	31660948.2	34918420.9
119000000.0	32257116.9	31724786.1	35005714.5
120000000.0	32327376.1	31787728.6	35091894.3
121000000.0	32396757.5	31849793.2	35176981.3
122000000.0	32465277.4	31910996.5	35260995.8
123000000.0	32532951.5	31971355.0	35343957.6
124000000.0	32599795.3	32030884.7	35425886.0
125000000.0	32665823.8	32089601.1	35506800.2
126000000.0	32731051.8	32147519.6	35586718.5
127000000.0	32795493.7	32204655.1	35665659.1
128000000.0	32859163.4	32261022.0	35743639.6
129000000.0	32922074.6	32316634.5	35820677.3
130000000.0	32984240.7	32371506.4	35896789.1
131000000.0	33045674.8	32425651.4	35971991.5
132000000.0	33106389.6	32479082.6	36046300.6
133000000.0	33166397.6	32531812.9	36120415.7
134000000.0	33225711.0	32583855.0	36193759.5
135000000.0	33284341.6	32635221.1	36266242.5
136000000.0	33342301.2	32685923.2	36337879.7
137000000.0	33399601.0	32735973.2	36408685.7
138000000.0	33456252.3	32785382.6	36478675.0
139000000.0	33512265.8	32834162.5	36547861.5
140000000.0	33567652.3	32882324.0	36616259.1
141000000.0	33622422.0	32929877.9	36683881.0
142000000.0	33676585.3	32976834.5	36750740.5
143000000.0	33730152.0	33023204.3	36816850.4
144000000.0	33782570.7	33068997.2	36882223.4
145000000.0	33834231.0	33114223.2	36946871.6
146000000.0	33885322.6	33158891.7	37010807.2
147000000.0	33935854.7	33203012.3	37074042.0
148000000.0	33985836.2	33246594.1	37136587.5
149000000.0	34035276.1	33289646.1	37198455.0
150000000.0	34084183.0	33332177.3	37259655.6
151000000.0	34132565.3	33374196.1	37323174.6
152000000.0	34180431.2	33415711.1	37387885.1
153000000.0	34227789.0	33456730.5	37451888.0
154000000.0	34274646.5	33497262.4	37515194.7
155000000.0	34321011.4	33537314.8	37577816.5
156000000.0	34366891.6	33576895.5	37639764.6
157000000.0	34412294.2	33616012.0	37701049.7
158000000.0	34457226.8	33654671.8	37761682.5
159000000.0	34501696.5	33692882.2	37827135.8
160000000.0	34545710.2	33730650.3	37897157.1
161000000.0	34589275.0	33767983.2	37966533.3
162000000.0	34632397.4	33804887.8	38035271.3
163000000.0	34675084.1	33841370.7	38103378.4
164000000.0	34717341.7	33877438.5	38170861.2
165000000.0	34759176.4	33913097.8	38237726.8
166000000.0	34800594.5	33948354.8	38303981.9
167000000.0	34841602.1	33983215.8	38369633.1
168000000.0	34882205.2	34017686.8	38434687.2
169000000.0	34922409.6	34051773.9	38499150.7
170000000.0	34962221.3	34085482.8	38563030.1
171000000.0	35001434.9	34118819.3	38626933.1
172000000.0	35040254.9	34151789.1	38690713.1
173000000.0	35078698.7	34184397.7	38753924.1
174000000.0	35116771.6	34216650.4	38816572.0
175000000.0	35154478.9	34248552.7	38878662.9
176000000.0	35191825.8	34280109.6	38940202.6
177000000.0	35228817.4	34311326.4	39001197.2
178000000.0	35265458.5	34342208.0	39061652.3
179000000.0	35302122.3	34372759.4	39121573.8
180000000.0	35338994.2	34402985.4	39180967.3
181000000.0	35375530.0	34432890.7	39239838.5
182000000.0	35411734.5	34462480.0	39298193.0
183000000.0	35447611.9	34491757.9	39356036.4
184000000.0	35483166.8	34520728.8	39413374.2
185000000.0	35518403.4	34549397.2	39470211.7
186000000.0	35553326.0	34577767.3	39526554.3
187000000.0	35587938.7	34605843.4	39582407.5
188000000.0	35622245.6	34633629.8	39637776.4
189000000.0	35656250.8	34661130.4	39692666.3
190000000.0	35689958.2	34688349.2	39747082.4
191000000.0	35723371.7	34715290.4	39801029.8
192000000.0	35756495.1	34741957.6	39854513.5
193000000.0	35789332.2	34768354.8	39907538.6
194000000.0	35821886.5	34794485.6	39960110.1
195000000.0	35854161.8	34820353.8	40012232.7
196000000.0	35886161.7	34845962.9	40063911.5
197000000.0	35917889.5	34871316.6	40115151.2
198000000.0	35949348.8	34896418.2	40165956.5
199000000.0	35980543.0	34921271.2	40216332.2
200000000.0	36011475.3	34945879.0	40266283.0
201000000.0	36042149.0	34970244.9	40315813.4
202000000.0	36072567.5	34994372.2	40364927.9
203000000.0	36102733.7	35018263.9	40413631.2
204000000.0	36132650.9	35041923.4	40461927.7
205000000.0	36162322.0	35065353.6	40509821.7
206000000.0	36191750.2	35088557.6	40557317.7
207000000.0	36220938.3	35111538.4	40604419.9
208000000.0	36249889.4	35134299.0	40651132.6
209000000.0	36278606.2	35156842.1	40689986.2
210000000.0	36307091.6	35179170.7	40725410.7
211000000.0	36335348.3	35201287.6	40760546.3
212000000.0	36363379.1	35223195.4	40795396.7
213000000.0	36391186.7	35244897.0	40829965.3
214000000.0	36418773.7	35266394.9	40864255.8
215000000.0	36446142.8	35287691.7	40898271.5
216000000.0	36473296.5	35308790.1	40932016.0
217000000.0	36500237.3	35329692.5	40965492.4
218000000.0	36526967.7	35350401.5	40998704.2
219000000.0	36553490.2	35370919.5	41031654.5
220000000.0	36579807.1	35391248.9	41064346.5
221000000.0	36605920.9	35411392.1	41096783.4
222000000.0	36631833.8	35431351.3	41128968.1
223000000.0	36657548.3	35451129.0	41160903.8
224000000.0	36683066.5	35470727.3	41192593.3
225000000.0	36708390.6	35490148.6	41224039.7
226000000.0	36733523.0	35509394.9	41255245.7
227000000.0	36758465.6	35528468.4	41286214.2
228000000.0	36783220.8	35547371.3	41316948.0
229000000.0	36807790.5	35566105.6	41347449.8
230000000.0	36832176.9	35584673.4	41377722.4
231000000.0	36856382.0	35603076.7	41407768.2
232000000.0	36880407.7	35621317.5	41437590.1
233000000.0	36904256.1	35639397.8	41467190.4
234000000.0	36927929.2	35657319.5	41496571.8
235000000.0	36951428.8	35675084.5	41525736.7
236000000.0	36974756.8	35692694.7	41554687.6
237000000.0	36997915.1	35710151.9	41583426.9
238000000.0	37020905.6	35727457.9	41611957.0
239000000.0	37043730.1	35744614.5	41640280.1
240000000.0	37066390.3	35761623.6	41668398.6
241000000.0	37088888.0	35778486.7	41696314.8
242000000.0	37111224.9	35795205.7	41724030.9
243000000.0	37133402.8	35811782.2	41751549.0
244000000.0	37155423.4	35828217.9	41778871.4
245000000.0	37177288.3	35844514.4	41806000.2
246000000.0	37198999.1	35860673.4	41832937.4
247000000.0	37220557.5	35876696.3	41859685.1
248000000.0	37241965.0	35892584.9	41886245.5
249000000.0	37263223.3	35908340.5	41912620.4
250000000.0	37284333.9	35923964.8	41938811.9
251000000.0	37305298.3	35939459.3	41964821.9
252000000.0	37326118.1	35954825.3	41990652.3
253000000.0	37346794.6	35970064.4	42016305.1
254000000.0	37367329.5	35985178.1	42041782.0
255000000.0	37387724.1	36000167.6	42067085.0
256000000.0	37407979.8	36015034.4	42092215.8
257000000.0	37428098.1	36029779.9	42117176.3
258000000.0	37448080.4	36044405.5	42141968.1
259000000.0	37467713.7	36058912.4	42166593.1
260000000.0	37487153.4	36073302.0	42191052.9
261000000.0	37506461.6	36087575.6	42215349.2
262000000.0	37525639.7	36101734.5	42239483.8
263000000.0	37544688.9	36115779.8	42263458.1
264000000.0	37563610.6	36129713.0	42287274.0
265000000.0	37582405.9	36143535.1	42310932.8
266000000.0	37601076.2	36157247.4	42334436.4
