TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	992938.0	992897.9	992978.0
2000000.0	1972103.0	1972003.5	1972185.0
3000000.0	2937883.0	2937722.6	2938023.2
4000000.0	3890558.0	3890329.1	3890759.7
5000000.0	4830382.5	4830081.0	4830653.0
6000000.0	5757618.0	5757229.3	5757953.2
7000000.0	6672494.5	6672018.8	6672901.6
8000000.0	7575244.5	7574673.4	7575742.1
9000000.0	8466109.5	8465411.9	8466708.8
10000000.0	9345316.5	9344481.8	9346026.3
11000000.0	10213047.0	10212094.0	10213900.8
12000000.0	11069532.0	11068454.5	11070540.8
13000000.0	11914982.5	11913769.6	11916148.2
14000000.0	12749590.5	12748238.4	12750915.1
15000000.0	13573557.0	13572059.7	13575043.1
16000000.0	14387053.0	14385412.5	14388724.8
17000000.0	15190275.5	15188466.3	15192148.8
18000000.0	15983421.5	15981427.5	15985497.1
19000000.0	16766659.0	16764474.9	16768949.8
20000000.0	17540156.5	17537778.2	17542681.5
21000000.0	18304095.0	18301512.6	18306861.9
22000000.0	19058658.5	19055864.2	19061656.6
23000000.0	19803990.6	19801007.9	19807227.8
24000000.0	20540254.0	20537081.6	20543738.4
25000000.0	21267605.2	21264239.9	21271326.7
26000000.0	21986197.3	21982635.8	21990141.0
27000000.0	22696201.6	22692409.2	22700350.3
28000000.0	23397731.2	23393688.0	23402094.6
29000000.0	24090940.6	24086638.6	24095516.3
30000000.0	24775969.9	24771400.4	24780755.1
31000000.0	25452956.5	25448106.3	25457947.5
32000000.0	26122004.7	26116894.9	26127227.3
33000000.0	26783222.7	26777897.4	26788725.5
34000000.0	27436827.5	27431242.7	27442570.2
35000000.0	28082901.4	28077056.6	28088887.0
36000000.0	28721517.8	28715457.7	28727798.9
37000000.0	29352946.4	29346560.0	29359426.2
38000000.0	29977196.2	29970493.2	29983886.9
39000000.0	30594397.4	30587373.4	30601296.6
40000000.0	31204606.2	31197314.3	31211768.5
41000000.0	31807976.6	31800427.4	31815413.6
42000000.0	32404649.1	32396821.8	32412379.1
43000000.0	32994625.1	32986604.6	33002761.3
44000000.0	33578108.4	33569860.0	33586820.3
45000000.0	34155211.8	34146667.7	34164507.9
46000000.0	34726043.3	34717166.3	34735916.2
47000000.0	35290703.7	35281415.4	35301143.5
48000000.0	35849115.1	35839512.4	35860165.8
49000000.0	36401758.7	36391583.2	36413107.5
50000000.0	36948451.2	36937720.1	36960135.3
51000000.0	37489380.7	37478013.5	37501339.5
52000000.0	38024582.2	38012552.1	38036809.6
53000000.0	38554005.4	38541423.2	38566640.3
54000000.0	39077823.6	39064712.2	39090913.7
55000000.0	39596154.8	39582503.3	39609712.1
56000000.0	40109081.5	40094878.8	40123118.6
57000000.0	40616760.9	40601919.7	40631297.3
58000000.0	41119316.7	41103705.3	41134413.8
59000000.0	41616718.8	41600313.6	41632394.3
60000000.0	42109021.1	42091820.8	42125319.2
61000000.0	42596151.0	42578302.0	42613273.9
62000000.0	43078403.1	43059830.6	43096320.0
63000000.0	43555826.8	43536478.9	43574529.8
64000000.0	44028546.0	44008317.6	44047974.7
65000000.0	44496277.5	44475416.3	44516724.3
66000000.0	44959418.0	44937843.1	44980880.6
67000000.0	45418004.5	45395665.1	45440581.2
68000000.0	45872068.6	45848948.1	45895794.2
69000000.0	46321636.8	46297756.4	46346584.1
70000000.0	46766724.9	46742153.7	46793014.2
71000000.0	47207711.8	47182084.0	47235146.7
72000000.0	47644440.6	47617445.2	47673042.7
73000000.0	48076968.8	48048544.6	48106762.0
74000000.0	48505355.7	48475436.1	48536363.5
75000000.0	48929838.2	48898157.9	48961904.7
76000000.0	49350079.6	49316817.6	49383442.3
77000000.0	49766119.2	49731480.2	49801032.0
78000000.0	50178436.5	50142208.6	50214728.3
79000000.0	50586893.1	50549062.8	50624584.9
80000000.0	50991340.5	50952100.5	51030654.4
81000000.0	51391876.4	51351322.9	51432988.6
82000000.0	51788683.3	51746800.4	51831638.2
83000000.0	52181811.4	52138564.7	52226653.2
84000000.0	52571516.2	52526664.7	52618082.7
85000000.0	52957796.1	52911148.3	53005974.6
86000000.0	53340627.8	53292062.9	53390376.5
87000000.0	53719699.4	53669454.7	53771334.9
88000000.0	54095892.9	54043369.4	54148895.3
89000000.0	54468311.8	54413851.9	54523102.9
90000000.0	54837125.1	54780946.3	54894001.6
91000000.0	55202514.0	55144695.9	55261635.0
92000000.0	55564935.9	55505143.5	55626045.7
93000000.0	55924093.1	55862331.1	55987618.4
94000000.0	56280137.5	56216299.9	56346572.5
95000000.0	56633049.1	56567090.5	56702486.7
96000000.0	56982868.0	56914706.5	57055402.3
97000000.0	57329633.6	57259217.0	57405359.8
98000000.0	57673484.8	57600665.4	57752398.9
99000000.0	58014402.1	57939089.9	58096558.7
100000000.0	58352389.5	58274996.4	58437877.4
101000000.0	58687484.2	58608067.8	58776392.9
102000000.0	59019722.4	58938253.7	59112142.0
103000000.0	59349106.3	59265589.4	59445161.2
104000000.0	59675660.6	59590109.8	59775486.1
105000000.0	59999654.5	59911849.1	60103200.4
106000000.0	60320819.9	60230841.2	60428340.9
107000000.0	60639302.6	60547119.3	60750895.6
108000000.0	60955135.4	60860716.1	61070897.6
109000000.0	61268350.9	61171664.1	61388379.7
110000000.0	61578785.2	61479995.0	61703373.9
111000000.0	61886643.4	61785740.2	62015911.5
112000000.0	62191968.5	62088930.5	62325567.2
113000000.0	62494790.9	62389596.4	62631964.0
114000000.0	62795140.6	62687767.8	62935939.0
115000000.0	63092993.1	62983474.3	63237521.7
116000000.0	63388392.3	63276744.9	63536740.6
117000000.0	63681403.6	63567608.3	63833624.2
118000000.0	63972055.0	63856050.8	64128200.4
119000000.0	64260374.3	64141775.8	64420496.4
120000000.0	64546388.7	64425165.8	64710539.4
121000000.0	64830125.1	64706249.3	64998355.9
122000000.0	65111610.0	64985052.8	65283972.0
123000000.0	65390869.5	65261602.7	65567413.5
124000000.0	65668094.9	65535924.7	65848705.7
125000000.0	65942923.3	65808044.4	66127873.7
126000000.0	66215598.2	66077986.7	66404941.9
127000000.0	66486144.4	66345776.5	66679934.5
128000000.0	66754586.2	66611438.0	66952875.4
129000000.0	67020680.5	66874995.4	67223787.9
130000000.0	67284481.3	67136472.2	67492695.3
131000000.0	67546236.5	67395891.7	67759620.2
132000000.0	67806099.8	67653277.0	68024585.1
133000000.0	68064098.6	67908650.6	68287611.9
134000000.0	68320128.6	68162035.0	68548722.4
135000000.0	68574540.1	68413452.0	68807938.1
136000000.0	68827072.0	68662923.4	69065280.0
137000000.0	69077707.0	68910470.5	69320768.8
138000000.0	69326466.0	69156114.4	69574830.1
139000000.0	69573369.6	69399875.9	69827807.1
140000000.0	69818438.0	69641775.5	70079036.3
141000000.0	70061691.3	69881833.3	70328537.8
142000000.0	70303149.2	70120069.3	70576331.4
