TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	984800.5	984750.9	984856.7
2000000.0	1940351.5	1940228.0	1940486.4
3000000.0	2868008.5	2867774.4	2868234.2
4000000.0	3768952.5	3768587.2	3769283.0
5000000.0	4644279.0	4643739.2	4644735.5
6000000.0	5494993.0	5494293.5	5495615.4
7000000.0	6322125.0	6321221.8	6322900.4
8000000.0	7126562.0	7125457.2	7127519.8
9000000.0	7909203.5	7907879.4	7910350.2
10000000.0	8670927.0	8669325.2	8672228.5
11000000.0	9412471.5	9410583.4	9413949.2
12000000.0	10134586.0	10132418.3	10136268.5
13000000.0	10838031.1	10835554.3	10839909.8
14000000.0	11523493.6	11520703.9	11525587.8
15000000.0	12191638.5	12188543.9	12193952.4
16000000.0	12843067.0	12839647.5	12845618.3
17000000.0	13478344.5	13474596.4	13481137.5
18000000.0	14098082.6	14093987.1	14101078.2
19000000.0	14702859.2	14698364.1	14706054.2
20000000.0	15293066.3	15288247.9	15296645.1
21000000.0	15869315.3	15864136.0	15873268.7
22000000.0	16432069.0	16426504.5	16436405.3
23000000.0	16981872.1	16975808.8	16986507.8
24000000.0	17518804.0	17512485.1	17524068.9
25000000.0	18043933.1	18036950.9	18049490.0
26000000.0	18556985.7	18549509.6	18563193.7
27000000.0	19058787.6	19050496.9	19065537.0
28000000.0	19549396.2	19540388.2	19556882.9
29000000.0	20029405.2	20019557.2	20037587.7
30000000.0	20499083.4	20488363.0	20507986.4
31000000.0	20958735.7	20947104.3	20968138.3
32000000.0	21408608.0	21396118.1	21418978.0
33000000.0	21849067.9	21835920.6	21860561.4
34000000.0	22280347.1	22266597.5	22292956.5
35000000.0	22702701.8	22688077.7	22716509.8
36000000.0	23116489.2	23100845.7	23131540.2
37000000.0	23522209.6	23505211.3	23538305.0
38000000.0	23919557.1	23901428.7	23937051.9
39000000.0	24309309.2	24289742.5	24328467.0
40000000.0	24691607.1	24669950.3	24711979.9
41000000.0	25066125.6	25042664.4	25088060.2
42000000.0	25433277.4	25408097.2	25457023.7
43000000.0	25793829.5	25766453.7	25819075.5
44000000.0	26147231.8	26117931.1	26174413.1
45000000.0	26494254.4	26462719.5	26523133.3
46000000.0	26835108.6	26801002.0	26865700.0
47000000.0	27169302.3	27132953.0	27202009.5
48000000.0	27497958.0	27458729.7	27532325.9
49000000.0	27820241.0	27778510.7	27857030.7
50000000.0	28136586.6	28092454.7	28176131.9
51000000.0	28447588.2	28400714.8	28489736.8
52000000.0	28753473.3	28703438.7	28798002.0
53000000.0	29054412.1	29001181.3	29101365.9
54000000.0	29349580.6	29293776.7	29399802.2
55000000.0	29639700.6	29581268.3	29693880.3
56000000.0	29924963.2	29863782.0	29984023.1
57000000.0	30205276.6	30141073.2	30269652.4
58000000.0	30481194.1	30413475.6	30551349.7
59000000.0	30752100.5	30681240.2	30829305.6
60000000.0	31018258.6	30944480.0	31103207.3
61000000.0	31280052.0	31203305.0	31373172.3
62000000.0	31537872.5	31457821.2	31639314.2
63000000.0	31791724.8	31708131.7	31901743.2
64000000.0	32041897.2	31954336.2	32160565.7
65000000.0	32288151.1	32196531.5	32415885.0
66000000.0	32530579.1	32434811.3	32667800.8
67000000.0	32769270.9	32669266.6	32916409.7
68000000.0	33004245.7	32899985.6	33161805.5
69000000.0	33235378.3	33127053.8	33403776.7
70000000.0	33463005.8	33350554.4	33641258.1
71000000.0	33687128.9	33570567.8	33875608.6
72000000.0	33907864.7	33787172.5	34106902.4
73000000.0	34125323.0	34000444.3	34335211.3
74000000.0	34339576.0	34210457.1	34560604.6
75000000.0	34550694.2	34417282.4	34783149.2
76000000.0	34758745.8	34620990.1	35002909.8
77000000.0	34963797.1	34821647.6	35219948.8
78000000.0	35165912.6	35019320.8	35434326.7
79000000.0	35365154.8	35214014.6	35646101.8
80000000.0	35561584.6	35405626.5	35855330.6
81000000.0	35755261.2	35594433.5	36062216.9
82000000.0	35946242.0	35780494.6	36266694.8
83000000.0	36134583.0	35963867.1	36468796.7
84000000.0	36320338.5	36144606.7	36668572.2
85000000.0	36503561.5	36322767.8	36866069.2
86000000.0	36684303.4	36498403.1	37061333.9
87000000.0	36862614.3	36671564.0	37254411.4
88000000.0	37038543.0	36842300.7	37445344.9
89000000.0	37212136.9	37010661.9	37634176.6
90000000.0	37384208.2	37176695.0	37820947.1
91000000.0	37554086.0	37340446.4	38005695.9
92000000.0	37721787.0	37501961.2	38188461.2
93000000.0	37886420.4	37661283.2	38369280.1
94000000.0	38048820.6	37818455.2	38548188.3
95000000.0	38209142.5	37973519.0	38725220.8
96000000.0	38367425.6	38126515.3	38905317.5
97000000.0	38523708.6	38277483.6	39083935.7
98000000.0	38678029.2	38426462.7	39261038.3
99000000.0	38830424.0	38573490.4	39436657.1
100000000.0	38980928.7	38718603.3	39610822.9
101000000.0	39129578.5	38861837.3	39783565.1
102000000.0	39276407.2	39003227.6	39954912.2
103000000.0	39421448.1	39142809.0	40124891.4
104000000.0	39564733.7	39280730.7	40293529.2
105000000.0	39706431.5	39416910.4	40460850.8
106000000.0	39846526.3	39551379.9	40626880.5
107000000.0	39984968.0	39684170.1	40791641.8
108000000.0	40121802.0	39815311.4	40955157.2
109000000.0	40257076.1	39944833.2	41117469.2
110000000.0	40390842.5	40072764.4	41278952.7
111000000.0	40523064.5	40199133.3	41439269.3
112000000.0	40653768.8	40323967.3	41598438.3
113000000.0	40782981.5	40447293.5	41756478.1
114000000.0	40910728.0	40569138.0	41913406.3
115000000.0	41037033.3	40689526.7	42069240.1
116000000.0	41161921.7	40808484.7	42223995.6
117000000.0	41285416.9	40926036.5	42377688.5
118000000.0	41407542.3	41042206.1	42530333.8
119000000.0	41528320.6	41157017.1	42681945.9
120000000.0	41647774.0	41270492.4	42832538.6
121000000.0	41765752.1	41382654.5	42982125.2
122000000.0	41882162.1	41493525.4	43130718.4
123000000.0	41997305.2	41603126.5	43278330.4
124000000.0	42111412.6	41711479.0	43424973.0
125000000.0	42224564.6	41818603.3	43570657.3
126000000.0	42336515.0	41924519.7	43715394.3
127000000.0	42447282.9	42029247.8	43859194.2
128000000.0	42556390.5	42132806.9	44002067.0
129000000.0	42664337.3	42235216.0	44144022.4
130000000.0	42771152.9	42336493.5	44285069.4
131000000.0	42877405.3	42436657.5	44425217.1
132000000.0	42982754.1	42535725.8	44564473.7
133000000.0	43087028.1	42633715.7	44702847.6
134000000.0	43190243.7	42730644.2	44840346.7
135000000.0	43292417.0	42826528.1	44976978.5
136000000.0	43393563.8	42921383.5	45112750.3
137000000.0	43493699.5	43015226.5	45247669.3
138000000.0	43592763.3	43108072.7	45381742.2
139000000.0	43690693.9	43199937.6	45514975.5
140000000.0	43787657.1	43290836.1	45647375.8
141000000.0	43883667.1	43380782.9	45778949.0
142000000.0	43978738.0	43469792.6	45909701.3
143000000.0	44072883.6	43557879.3	46039638.3
144000000.0	44166117.3	43645056.8	46168765.6
145000000.0	44258452.4	43731338.9	46297088.7
146000000.0	44349901.8	43816738.7	46424612.9
147000000.0	44440478.2	43901269.5	46551343.2
148000000.0	44530194.1	43984944.1	46677284.8
149000000.0	44619061.8	44067775.0	46802442.5
150000000.0	44707093.1	44149774.6	46926821.1
151000000.0	44794300.0	44230955.0	47050425.2
152000000.0	44880694.0	44311328.1	47173259.3
153000000.0	44966286.4	44390905.6	47295328.0
154000000.0	45051088.4	44469698.9	47416635.5
155000000.0	45135110.8	44547719.1	47537186.3
156000000.0	45218364.4	44624977.5	47656984.5
157000000.0	45300859.7	44701484.7	47776034.3
158000000.0	45382607.1	44777251.3	47894339.7
159000000.0	45463616.7	44852287.8	48011904.8
160000000.0	45543898.5	44926604.5	48128733.6
161000000.0	45623462.3	45000211.3	48244830.0
162000000.0	45702317.6	45073118.1	48360197.8
163000000.0	45780474.0	45145334.5	48474841.0
164000000.0	45857940.6	45216870.2	48588763.3
165000000.0	45934726.7	45287734.4	48701968.6
166000000.0	46010841.1	45357936.3	48814460.6
167000000.0	46086292.6	45427484.9	48926242.9
168000000.0	46161090.0	45496389.0	49037319.4
169000000.0	46235241.6	45564657.4	49147693.6
170000000.0	46308755.8	45632292.6	49257369.4
171000000.0	46381640.9	45699297.9	49366350.2
172000000.0	46453904.8	45765692.5	49474639.8
173000000.0	46525555.6	45831484.6	49582241.8
174000000.0	46596600.9	45896682.0	49689159.8
175000000.0	46667048.5	45961292.7	49795397.5
176000000.0	46736905.8	46025324.2	49900958.4
177000000.0	46806180.4	46088784.2	50005846.1
178000000.0	46874879.4	46151680.1	50110064.3
179000000.0	46943010.0	46214019.2	50213616.5
180000000.0	47010579.2	46275808.6	50316506.4
181000000.0	47077594.1	46337055.5	50418737.6
182000000.0	47144061.3	46397766.7	50520313.6
183000000.0	47209987.6	46457949.1	50621238.1
184000000.0	47275379.6	46517609.4	50721514.6
185000000.0	47340243.7	46576754.2	50821146.8
186000000.0	47404586.3	46635390.0	50920138.4
187000000.0	47468413.8	46693523.1	51018492.8
188000000.0	47531732.2	46751160.0	51116213.7
189000000.0	47594547.8	46808306.6	51213304.8
190000000.0	47656866.3	46864969.2	51309769.7
191000000.0	47718693.7	46921153.6	51405612.0
192000000.0	47780035.9	46976865.9	51500835.3
193000000.0	47840898.5	47032111.6	51595443.4
194000000.0	47901287.1	47086896.7	51689439.7
195000000.0	47961207.3	47141226.6	51782828.0
196000000.0	48020664.5	47195106.9	51875611.9
197000000.0	48079664.0	47248543.0	51967795.1
198000000.0	48138211.1	47301540.2	52059381.2
199000000.0	48196311.1	47354103.9	52150373.9
200000000.0	48253968.9	47406239.1	52240776.8
201000000.0	48311189.8	47457951.0	52330593.6
202000000.0	48367978.5	47509244.7	52419828.0
203000000.0	48424340.1	47560124.9	52508483.6
204000000.0	48480279.2	47610596.7	52596564.1
205000000.0	48535800.8	47660664.7	52684073.2
206000000.0	48590909.3	47710333.8	52771014.4
207000000.0	48645609.5	47759608.5	52857391.5
208000000.0	48699905.8	47808493.5	52943208.2
209000000.0	48753802.7	47856993.1	53028468.0
210000000.0	48807304.6	47905111.9	53113174.7
211000000.0	48860415.9	47952854.3	53197331.8
212000000.0	48913140.7	48000224.5	53280943.2
213000000.0	48965483.4	48047226.7	53364012.3
214000000.0	49017448.1	48093865.2	53446542.8
215000000.0	49069038.8	48140144.1	53528538.4
216000000.0	49120259.6	48186067.4	53610002.6
217000000.0	49171114.4	48231639.0	53690939.2
218000000.0	49221607.2	48276863.1	53771351.7
219000000.0	49271741.9	48321743.3	53851243.7
220000000.0	49321522.1	48366283.6	53930618.9
221000000.0	49370951.8	48410487.7	54009480.8
222000000.0	49420034.5	48454359.3	54087833.0
223000000.0	49468773.9	48497902.1	54165679.1
224000000.0	49517173.6	48541119.7	54243022.6
225000000.0	49565237.2	48584015.6	54319867.2
226000000.0	49612968.2	48626593.3	54396216.3
227000000.0	49660369.9	48668856.3	54472073.4
228000000.0	49707445.8	48710808.1	54547442.2
229000000.0	49754199.3	48752451.8	54622326.1
230000000.0	49800633.6	48793790.9	54696728.6
231000000.0	49846752.1	48834828.6	54770653.3
232000000.0	49892557.8	48875568.2	54844103.4
233000000.0	49938054.1	48916012.7	54917082.7
234000000.0	49983244.0	48956165.4	54989594.3
235000000.0	50028130.7	48996029.3	55061641.9
236000000.0	50072717.1	49035607.4	55133228.8
237000000.0	50117006.3	49074902.8	55204358.5
238000000.0	50161001.2	49113918.4	55275034.2
239000000.0	50204704.8	49152657.1	55345259.4
240000000.0	50248120.0	49191121.9	55415037.5
241000000.0	50291249.5	49229315.4	55484371.7
242000000.0	50334096.3	49267240.6	55553265.4
243000000.0	50376663.1	49304900.2	55621721.9
244000000.0	50418952.6	49342297.0	55689744.5
245000000.0	50460967.5	49379433.5	55757336.5
246000000.0	50502710.6	49416312.5	55824501.1
247000000.0	50544184.4	49452936.6	55891241.5
248000000.0	50585391.5	49489308.4	55957561.0
