task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	51/072d83	83323	NFCORE_CUTANDRUN:CUTANDRUN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2025-01-23 21:47:14.711	3s	0ms	58.0%	2.8 MB	11 MB	680.9 KB	5.4 KB
3	83/872dc5	92584	NFCORE_CUTANDRUN:CUTANDRUN:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2025-01-23 21:47:33.964	11.7s	8s	98.9%	635.9 MB	655.9 MB	90.7 MB	4.8 MB
29	3d/df2413	83748	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (H3K4_A_R4)	COMPLETED	0	2025-01-23 21:47:18.734	1m 13s	1m 10s	194.6%	1.3 GB	6.1 GB	619.2 MB	3.7 MB
9	40/f36420	83712	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (H3K27_A_R3)	COMPLETED	0	2025-01-23 21:47:18.672	1m 35s	1m 32s	195.0%	1.3 GB	6 GB	822.1 MB	3.7 MB
19	3b/2db372	83877	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (H3K27_N_R4)	COMPLETED	0	2025-01-23 21:47:18.849	1m 36s	1m 32s	200.4%	1.1 GB	6 GB	841.9 MB	3.7 MB
5	f7/11f16e	83919	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (H3K27_A_R1)	COMPLETED	0	2025-01-23 21:47:18.875	1m 37s	1m 33s	198.3%	1.2 GB	6 GB	836.6 MB	3.7 MB
43	14/46a9f0	83703	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (nH3K27_A_R3)	COMPLETED	0	2025-01-23 21:47:18.606	1m 40s	1m 37s	190.9%	1.3 GB	6 GB	870.1 MB	3.7 MB
62	5b/0376ca	83844	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (nH3K4_A_R2)	COMPLETED	0	2025-01-23 21:47:18.821	1m 41s	1m 38s	196.7%	1.2 GB	6.1 GB	894.7 MB	3.7 MB
41	ea/0f91a8	83763	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (nH3K27_A_R1)	COMPLETED	0	2025-01-23 21:47:18.762	1m 52s	1m 48s	197.4%	1.4 GB	6 GB	972.6 MB	3.7 MB
15	8d/169842	83798	NFCORE_CUTANDRUN:CUTANDRUN:FASTQC_TRIMGALORE:FASTQC (H3K27_N_R2)	COMPLETED	0	2025-01-23 21:47:18.790	1m 53s	1m 49s	194.2%	1.2 GB	6.1 GB	984.5 MB	3.7 MB
