group,replicate,fastq_1,fastq_2,control
H3K27_A,1,/home/me1117/cut_run/fastq/H3K27_A_1_S5_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_A_1_S5_L001_R2_001.fastq.gz,IgG_A
H3K27_A,2,/home/me1117/cut_run/fastq/H3K27_A_2_S6_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_A_2_S6_L001_R2_001.fastq.gz,IgG_A
H3K27_A,3,/home/me1117/cut_run/fastq/H3K27_A_3_S7_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_A_3_S7_L001_R2_001.fastq.gz,IgG_A
H3K27_A,4,/home/me1117/cut_run/fastq/H3K27_A_4_S8_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_A_4_S8_L001_R2_001.fastq.gz,IgG_A
H3K27_N,1,/home/me1117/cut_run/fastq/H3K27_N_1_S1_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_N_1_S1_L001_R2_001.fastq.gz,IgG_N
H3K27_N,2,/home/me1117/cut_run/fastq/H3K27_N_2_S2_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_N_2_S2_L001_R2_001.fastq.gz,IgG_N
H3K27_N,3,/home/me1117/cut_run/fastq/H3K27_N_3_S3_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_N_3_S3_L001_R2_001.fastq.gz,IgG_N
H3K27_N,4,/home/me1117/cut_run/fastq/H3K27_N_4_S4_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K27_N_4_S4_L001_R2_001.fastq.gz,IgG_N
H3K4_A,1,/home/me1117/cut_run/fastq/H3K4_A_1_S9_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K4_A_1_S9_L001_R2_001.fastq.gz,IgG_A
H3K4_A,2,/home/me1117/cut_run/fastq/H3K4_A_2_S14_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K4_A_2_S14_L001_R2_001.fastq.gz,IgG_A
H3K4_A,3,/home/me1117/cut_run/fastq/H3K4_A_3_S15_L001_R1_001.fastq.gz,/home/me1117/cut_run/fastq/H3K4_A_3_S15_L001_R2_001.fastq.gz,IgG_A
