Gene	Chromosome	Start	End	Strand
B2m	chr2	122147686	122153083	+
Uba1	chrX	20658326	20683179	+
Rpl39	chrX	37082520	37085402	-
Hprt	chrX	52988137	53021659	+
Nono	chrX	101429318	101448591	+
Pgk1	chrX	106187100	106203699	+
Psmd4	chr3	95032694	95042614	-
Gtf2b	chr3	142765045	142783606	+
Vcp	chr4	42979963	43000507	-
Rnf20	chr4	49632006	49656887	+
Rps8	chr4	117153827	117156243	-
Cdc42	chr4	137319696	137357720	-
Ppp1cb	chr5	32458843	32517433	+
Ctbp1	chr5	33247723	33274994	-
Rnf10	chr5	115241412	115272898	-
Rplp0	chr5	115559467	115563727	+
Ubc	chr5	125385965	125390202	-
Gusb	chr5	129989011	130003049	-
Eif4h	chr5	134619721	134639490	-
Actb	chr5	142903115	142906754	-
Gapdh	chr6	125161715	125166467	-
Psmc4	chr7	28041707	28050101	-
Rpl13a	chr7	45125558	45128761	-
Eef2	chr10	81176631	81182498	+
Cox5a	chr9	57521274	57532426	+
Ppib	chr9	66060222	66066623	+
Eef1a1	chr9	78478449	78489151	-
Rnf7	chr9	96470937	96478675	-
Rpl14	chr9	120571444	120574654	+
Ppia	chr11	6415443	6419817	+
Polr2a	chr11	69733997	69758637	-
Rpl19	chr11	98026710	98030492	+
Sdha	chr13	74322254	74350280	-
Rps23	chr13	90922958	90924950	+
Rps7	chr12	28630854	28635953	-
Ywhaz	chr15	36770770	36796929	-
Rpl3	chr15	80077791	80091868	-
Tuba1b	chr15	98931425	98934565	-
Gart	chr16	91621186	91646952	-
Tbp	chr17	15499888	15528379	+
Rps18	chr17	33951999	33956001	-
Tubb5	chr17	35833921	35838306	-
Hsp90ab1	chr17	45567775	45573271	-
Cox7a2l	chr17	83501918	83517330	-
Pgam1	chr19	41911923	41918660	+
